,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],2.858052256161218,0.012469928350614095,0.23152293539883,2.3936996394958894,2.7216397139002666,2.8582755982256165,2.994933889357939,3.359381296921828,344.7149540444687,0.9982629948755627
mu[2],3.1069938196508655,0.014343381971329835,0.27471522067432974,2.5426783356475102,2.9334970309111137,3.108986940988488,3.259253494052761,3.65178591384321,366.8278636027822,0.9997036504392403
mu[3],3.5576102721578318,0.015461965856539747,0.2731459055555057,3.0342135253077025,3.4056405396691476,3.5523294577344835,3.708750388278399,4.186550750213486,312.075711877275,0.9990459242498566
mu[4],3.741336375916064,0.016886280441034848,0.33386722444051004,3.0823679651014504,3.5167295802116083,3.7479251666343765,3.953239651717113,4.384967298826923,390.91251831470396,1.0034372354493448
mu[5],3.9511688091112154,0.016509372038034986,0.3084743234970817,3.3310345611871712,3.746836831333674,3.932215267273052,4.132944239767118,4.551107519571404,349.1217710515046,0.9966790941099603
mu[6],2.4307397304359664,0.012204447678874845,0.23631123322652903,1.9665456474984686,2.2648987073084017,2.4215821544276017,2.590709318886197,2.937309624806914,374.9147038931282,0.9977831852816508
mu[7],3.6658864307268217,0.0169843460863838,0.3014500400311861,3.1375911034870443,3.483167583849936,3.6484201379912022,3.8360113133078455,4.329517201797952,315.01630288371405,1.003963784766503
mu[8],3.130695393742998,0.013690265665691424,0.2264141902179562,2.6694933536024545,2.978569374260304,3.129935085068141,3.268373257602117,3.590060039338884,273.51650137733685,0.9992914605043784
mu[9],2.865730540667388,0.012711602215252459,0.23567226019387685,2.371727832580573,2.7160577524509897,2.867752510388756,3.03178268564687,3.316721317432686,343.7291354814519,0.9983516918708213
mu[10],3.250043678681488,0.014128510326451871,0.24760597807003445,2.6875811951283044,3.1134478385721547,3.2552677769210607,3.4030817836686618,3.72596904635583,307.13513794449136,0.9963702256482392
"prediction[1,1]",162.86040778154205,3.656708018308971,79.82702300689103,57.587800958188744,108.18286748457868,143.94632970685637,198.8934914132202,357.36223068098536,476.5618781516842,1.0041064983787797
"prediction[2,1]",162.86040778154205,3.656708018308971,79.82702300689103,57.587800958188744,108.18286748457868,143.94632970685637,198.8934914132202,357.36223068098536,476.5618781516842,1.0041064983787797
"prediction[3,1]",162.86040778154205,3.656708018308971,79.82702300689103,57.587800958188744,108.18286748457868,143.94632970685637,198.8934914132202,357.36223068098536,476.5618781516842,1.0041064983787797
"prediction[4,1]",162.86040778154205,3.656708018308971,79.82702300689103,57.587800958188744,108.18286748457868,143.94632970685637,198.8934914132202,357.36223068098536,476.5618781516842,1.0041064983787797
"prediction[5,1]",162.86040778154205,3.656708018308971,79.82702300689103,57.587800958188744,108.18286748457868,143.94632970685637,198.8934914132202,357.36223068098536,476.5618781516842,1.0041064983787797
"prediction[6,1]",162.86040778154205,3.656708018308971,79.82702300689103,57.587800958188744,108.18286748457868,143.94632970685637,198.8934914132202,357.36223068098536,476.5618781516842,1.0041064983787797
"prediction[7,1]",193.66368558009052,2.8358767456413294,66.11354200376589,82.81864541567842,148.01880230315658,186.74518033453376,232.37821784476927,340.9481637583377,543.5082579652506,0.9962799412177609
"prediction[8,1]",230.15457491365243,3.3556547239926604,78.3859238344358,98.60005665842974,176.3311138053884,222.347422224222,275.9128437670389,403.10744498371395,545.6593808008012,0.9960392824794949
"prediction[9,1]",267.5785803317453,3.8781644437311624,91.12643484401254,115.2170941918094,204.39048160042637,257.53707468712855,321.141610593416,465.710343415315,552.1236096957168,0.99533056031935
"prediction[10,1]",309.0834865677367,4.4995159150255475,106.47240890407866,136.50714293623145,234.74310674639446,295.79418623839433,371.5554890137071,542.7300089315115,559.941395534173,0.9945194470510571
"prediction[11,1]",356.7263380438753,5.299605912415362,126.1052495592011,153.57127413260554,263.6560847461009,342.8186571630219,430.50553572475656,639.1863915897068,566.2121442692016,0.9939073602262188
"prediction[12,1]",308.1750806488712,5.03474375400979,121.76246489582402,131.81068440909542,219.53992115445837,280.9055996752918,384.24208673294277,585.8527776288332,584.8872021117162,0.9961980489095099
"prediction[13,1]",259.50580920831493,4.137133479858524,94.77789544716094,125.68572181610996,194.0198147627112,238.06655027615528,305.65002496602244,501.9188316056407,524.8256539196489,0.9975443692201253
"prediction[14,1]",288.8542438492898,4.83092583147677,110.52589936494346,142.2256271439642,216.09719841986995,261.0707661476226,339.34515240737255,587.4996546108459,523.4405640337253,0.9979202038699833
"prediction[15,1]",230.64334951124144,2.581052014313606,58.7727440141759,129.73638703973208,189.0344358184283,224.5429915425529,265.96280172588536,365.31043269894104,518.511534804174,0.996973801453821
"prediction[16,1]",241.43981982131737,2.5603041087490364,58.58865557049464,142.76453442094635,200.85950710426516,236.00352092615722,274.0085895876024,374.5896356769457,523.6534371124297,0.996423494852481
"prediction[17,1]",247.03697477321577,2.555566251792113,58.3119376111322,148.05295267386353,207.62111224905357,242.86981507239398,279.54655902970643,376.29269527495944,520.6437466235043,0.9964391221093978
"prediction[18,1]",249.1549602205051,2.550559395374235,57.71539723530729,153.16263110242372,209.59225893938054,244.92843076620193,282.160075481202,371.2353017960483,512.0501471019242,0.996791836092769
"prediction[19,1]",249.41206803099024,2.549483362113175,57.00788820486279,153.24225563217072,209.1159260850523,243.89592717640699,282.31615383727365,367.9214292193168,499.994863083204,0.9974067341973678
"prediction[20,1]",248.81963472981727,2.5637661870321597,56.51081824501959,152.13318964087503,208.62581385849313,241.82774369513095,281.0514597344678,363.3274659424659,485.85464654484616,0.9982726240781072
"prediction[21,1]",247.91127879047346,2.6028917128208047,56.47851482622663,153.22318056820188,206.94779081788147,241.76416345378496,277.91707595774125,369.87089965985496,470.81938355843863,0.999369924683785
"prediction[22,1]",246.93551048814294,2.6728354419033553,57.07807594961984,153.7674393453505,205.68163637545393,240.00685055435378,274.4818903129123,374.19310185691927,456.0308331496257,1.0006476160918099
"prediction[23,1]",245.99460613426177,2.776881175982148,58.41246141307395,154.34217497569466,204.8720244402004,238.98699709211826,275.8258607107021,381.9860349316965,442.4828281708554,1.002025259242241
"prediction[24,1]",245.12474350979394,2.916586774784494,60.54190806009456,152.05906496001268,203.59640831320377,236.29228419872305,273.33163024159865,383.4689014287592,430.8860203723349,1.0034080520200825
"prediction[25,1]",244.33622147582952,3.0924557251444744,63.497195092777396,152.2264256351312,202.4973233286871,233.9548194396175,271.5680362111325,376.5824948870214,421.60145554207804,1.0047069124231378
"prediction[26,1]",243.63127089375516,3.304373075679268,67.28820523271008,150.972447660135,200.71735535011638,231.5738136230068,269.2113044034022,394.48726724324285,414.6672528001192,1.005855300269841
"prediction[27,1]",224.262291385167,2.168107287599632,46.51511613826394,140.9777910045366,191.02188768902192,219.19670096575425,250.57246291699892,328.9399393643911,460.28485025207965,0.99733528399856
"prediction[28,1]",222.69615279728953,2.179147224923776,46.204522105319775,143.15536142715382,190.81880547042056,217.47147158042725,248.06518737959732,328.33167787692656,449.5684446126541,0.9983735900717037
"prediction[29,1]",220.37847544774888,2.173846610877462,45.73328131816019,141.07759459877803,189.28541963480671,215.2142682299696,244.7656100907601,328.7087334137414,442.59543719005313,0.9990190881663691
"prediction[30,1]",217.47243105083908,2.1469464956960755,44.944834730964224,139.0011319086873,187.44147597356164,211.73005084111406,240.6619276465242,324.819887718119,438.2451642778585,0.9992965887230557
"prediction[31,1]",214.22625752401032,2.1055734495636065,43.93213785014101,137.15192843292184,184.7500199823407,208.74218494711403,236.37205495146617,319.5371559696698,435.33529975110673,0.9993404308045863
"prediction[32,1]",210.81697078717937,2.057259034096447,42.81675119149904,135.4646652927856,182.13877586453893,206.1134744683145,232.62608140514521,313.83757230176013,433.161118226752,0.9992577703487877
"prediction[33,1]",207.34702770333675,2.006865398329512,41.68099510938642,132.91286133895647,179.20729328873637,202.79462732213761,228.69996773269034,307.92221409905346,431.3597985912947,0.999114708563008
"prediction[34,1]",203.86877191179417,1.9569189347961105,40.568369750611815,130.42943019441782,176.29916733032712,198.9448942448879,225.08863467812404,299.79239875290307,429.7634138294612,0.998947255979748
"prediction[35,1]",200.4063702358912,1.9085369775963263,39.49820703898518,128.37872043540403,172.97897172312582,195.6613143259118,220.28586002843113,294.9364025147038,428.30545565027484,0.9987732591984585
"prediction[36,1]",196.96997331632417,1.8621271477525794,38.47751457071654,126.88333264815651,170.77172104165783,192.15420935550972,216.83385916975743,290.07505414561285,426.96803156511186,0.9986008333204315
"prediction[37,1]",193.56352138787472,1.8177847667330718,37.50783248454226,125.39699459323117,168.21092530235273,188.7943932104177,213.0042088485868,285.2905077440021,425.75427373325186,0.9984334112155114
"prediction[38,1]",190.1885535558187,1.7754859166534895,36.588583197142405,123.91317610195895,165.34394141339823,185.28909641888413,209.16559352345533,278.9741269119125,424.67502604484173,0.9982724294223609
"prediction[39,1]",186.84582804052357,1.735169595976243,35.718496254230004,122.43236381877543,162.65495165917775,182.16467397900388,205.13339559835094,274.3337388198351,423.74293967626363,0.9981186034591337
"prediction[40,1]",183.53596780708364,1.696767996196169,34.89613294416756,120.95503531840095,160.28118299859383,179.1922472950666,202.0497754231684,269.9413444468536,422.9701091977627,0.9979724539215076
"prediction[41,1]",180.25962759517412,1.6602148208788137,34.12002801022603,119.50090163705866,157.59120716287867,175.76874029319606,198.8459585122669,265.57646529116914,422.36720038970793,0.9978344778491585
