FIPS,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013
29101,63.4,4
29103,8.2,9
29105,46.5,6
29107,53.1,1
29109,63.2,6
29111,20.2,9
29113,83.9,1
29115,20.7,7
29117,28.5,6
29119,42.8,2
29121,19.4,7
29123,24.7,6
29125,17.4,8
29127,65.9,5
29129,8.3,9
29131,41.8,6
29133,34.9,6
29135,37.6,3
29137,13.6,9
29139,22.8,6
29141,34.4,8
29143,28.1,7
29145,93,3
29147,26.6,6
29149,13.8,9
29151,23,3
29153,13.1,9
29155,37.1,7
29157,40,6
29159,61.9,4
29161,67.2,5
29163,27.6,6
29165,212.6,1
29167,49,2
29169,95.5,5
29171,9.6,9
29173,21.6,9
29175,52.7,6
29177,41.3,1
29179,8.3,9
29181,22.4,9
29183,643.2,1
29185,14.6,8
29186,36.4,6
29187,144.6,4
29189,1967.2,1
29195,30.9,6
29197,14.4,9
29199,11.1,9
29201,93.3,4
29203,8.4,9
29205,12.7,9
29207,36.4,6
29209,69.4,6
29211,10.4,9
29213,81.7,4
29215,22.1,9
29217,25.6,7
29219,75.9,1
29221,33.2,6
29223,17.8,9
29225,61.1,2
29227,8.1,9
29229,27.6,6
29510,5157.5,1
30000,6.8,NA
30001,1.7,7
30003,2.6,6
30005,1.5,9
30007,4.7,9
30009,4.9,3
30011,0.3,9
30013,30.1,3
30015,1.5,8
30017,3.1,7
30019,1.2,9
30021,3.8,7
30023,12.6,7
30025,1.8,9
30027,2.7,7
30029,17.9,5
30031,34.4,5
30033,0.3,9
30035,4.5,7
30037,0.8,3
30039,1.8,8
30041,5.6,7
30043,6.9,9
30045,1.1,8
30047,19.3,6
30049,18.3,5
30051,1.6,9
30053,5.4,7
30055,0.7,9
30057,2.1,9
30059,0.8,9
30061,3.5,8
30063,42.1,3
30065,2.4,8
30067,5.6,7
30069,0.3,9
30071,0.8,9
30073,3.8,7
30075,0.5,9
30077,3,6
30079,0.7,9
30081,16.8,6
30083,4.7,7
30085,4.4,7
30087,1.8,9
30089,4.1,8
30091,2,9
30093,47.6,5
30095,5.1,8
30097,2,9
30099,2.7,8
30101,2.8,7
30103,0.7,8
30105,1.5,7
30107,1.5,9
30109,1.1,9
30111,56.2,3
31000,23.8,NA
31001,55.7,4
31003,7.8,9
31005,0.6,9
31007,0.9,9
31009,0.7,9
31011,8,9
31013,10.5,7
31015,3.9,9
31017,2.6,9
31019,47.6,4
31021,14,8
31023,14.4,6
31025,45.3,2
31027,12,9
31029,4.4,9
31031,1,7
31033,8.4,7
31035,11.4,8
31037,25.5,7
31039,16,7
31041,4.2,7
31043,79.5,3
31045,6.6,7
31047,24,7
31049,4.4,9
31051,12.6,3
31053,69.4,4
31055,1574.4,2
31057,2.2,9
31059,10.2,8
31061,5.6,9
31063,2.8,9
31065,6.9,9
31067,26.2,6
31069,1.2,9
31071,3.6,9
31073,4.5,9
31075,0.8,9
31077,4.5,8
31079,107.3,3
31081,16.8,3
31083,6.2,9
31085,1.4,9
31087,4.1,9
31089,4.3,7
31091,1,9
31093,11,3
31095,13.2,7
31097,13.9,8
31099,12.6,7
31101,7.9,7
31103,1.1,9
31105,4,8
31107,7.9,9
31109,340.8,2
31111,14.2,5
31113,1.3,9
31115,1.1,9
31117,0.6,9
31119,60.9,5
31121,16.2,3
31123,3.5,9
31125,8.5,8
31127,17.8,7
31129,7.8,9
31131,25.6,6
31133,6.4,9
31135,3.4,9
31137,17,7
31139,12.7,9
31141,47.8,5
31143,12.3,9
31145,15.4,7
31147,15.2,7
31149,1.5,9
31151,24.7,6
31153,664.6,2
31155,27.7,2
31157,50,5
31159,29.3,2
31161,2.2,9
31163,5.6,8
31165,0.6,9
31167,14.3,9
31169,9.1,9
31171,0.9,9
31173,17.6,8
31175,7.5,9
31177,51.9,2
31179,21.7,6
31181,6.6,9
31183,1.4,9
31185,23.9,6
32000,24.6,NA
32001,5,6
32003,247.3,1
32005,66.2,4
32007,2.8,5
32009,0.2,9
32011,0.5,9
32013,1.7,7
32015,1.1,7
32017,0.5,8
32019,26,4
32021,1.3,7
32023,2.4,4
32027,1.1,9
32029,15.3,2
32031,66.9,2
32033,1.1,7
32510,382.1,3
33000,147,NA
33001,150.1,4
33003,51.4,6
33005,109.1,4
33007,18.4,7
33009,52.2,5
33011,457.4,2
33013,156.8,4
33015,425,1
33017,333.7,1
33019,81.4,7
34000,1195.5,NA
34001,494.1,2
34003,3884.5,1
34005,561.9,1
34007,2321.5,1
34009,386.9,3
34011,324.4,3
34013,6211.5,1
34015,895.3,1
34017,13731.4,1
34019,300,1
34021,1632.2,2
34023,2621.6,1
34025,1344.7,1
34027,1069.8,1
34029,917,1
34031,2715.3,1
34033,199.1,1
34035,1071.7,1
34037,287.6,1
34039,5216.1,1
34041,304.5,2
35000,17,NA
35001,570.8,2
35003,0.5,9
35005,10.8,5
35006,6,6
35007,3.7,7
35009,34.4,5
35011,0.9,9
35013,55,3
35015,12.9,5
35017,7.4,7
35019,1.5,7
35021,0.3,9
35023,1.4,9
35025,14.7,5
35027,4.2,7
35028,164.4,6
35029,8.5,6
35031,13.1,5
35033,2.5,9
35035,9.6,4
35037,3.1,7
35039,6.9,4
35041,8.1,7
35043,35.5,2
35045,23.6,3
35047,6.2,6
35049,75.5,3
35051,2.9,6
35053,2.7,6
35055,15,7
35057,4.9,2
35059,1.2,9
35061,71.8,2
36000,411.2,NA
36001,581.9,2
36003,47.6,7
36005,32903.3,1
36007,284.2,2
36009,61.4,4
36011,115.7,4
36013,127.2,4
36015,218.1,3
36017,56.5,6
36019,79.1,5
36021,99.4,6
36023,98.9,4
36025,33.3,6
36027,373.9,1
36029,881.4,1
36031,21.9,6
36033,31.7,7
36035,112.1,4
36037,121.9,4
36039,76.1,6
36041,2.8,8
36043,45.7,2
36045,91.6,3
36047,35369.2,1
36049,21.3,6
36051,103.5,1
36053,112.2,2
36055,1132.6,1
36057,124.6,4
36059,4704.8,1
36061,69468.4,1
36063,414.4,1
36065,193.7,2
36067,600,2
36069,167.6,1
36071,459.3,1
36073,109.6,1
36075,128.3,2
36077,62.2,7
36079,432.9,1
36081,20553.6,1
36083,244.4,2
36085,8030.3,1
36087,1795.9,1
36089,41.8,4
36091,271.1,2
36093,756.6,2
36095,52.7,2
36097,55.9,6
36099,108.9,6
36101,71.2,4
36103,1637.4,1
36105,80.1,4
36107,98.6,2
36109,214,3
36111,162.3,3
36113,75.8,3
36115,76.1,3
36117,155.3,1
36119,2204.7,1
36121,71.1,6
36123,75,1
37000,196.1,NA
37001,356.5,3
37003,143.1,2
37005,47.5,9
37007,50.7,6
37009,64,7
37011,72,8
37013,57.7,6
37015,30.4,7
37017,40.2,6
37019,126.8,2
37021,362.9,2
37023,179.3,2
37025,492.1,1
37027,176.1,2
37029,41.5,8
37031,131.3,4
37033,55.8,8
37035,387.1,2
37037,93.1,2
37039,60.3,9
37041,85.8,6
37043,49.3,9
37045,211.3,4
37047,62,6
37049,146,3
37051,489.7,2
37053,89.9,1
37055,88.5,4
37057,294.7,2
37059,156.1,2
37061,71.7,6
37063,935.7,2
37065,111.9,3
37067,859.2,2
37069,123.3,1
37071,578.8,1
37073,35.8,1
37075,30.3,9
37077,112.7,4
37079,80.3,8
37081,756.4,2
37083,75.5,4
37085,192.7,4
37087,106.6,2
37089,286.1,2
37091,69.9,6
37093,120.2,2
37095,9.5,9
37097,277.8,1
37099,82.1,6
37101,213.4,1
37103,21.6,3
37105,227,4
37107,148.5,4
37109,262.7,1
37111,102.1,6
37113,65.8,7
37115,46.2,2
37117,53.1,6
37119,1755.5,1
37121,70.4,7
37123,56.5,6
37125,126.5,4
37127,177.3,3
37129,1058.1,2
37131,41.2,9
37133,233.1,3
37135,336.2,2
37137,39.1,3
37139,179.2,4
37141,60,2
37143,54.4,8
37145,100.6,2
37147,257.9,3
37149,86.3,8
37151,181.1,2
37153,98.4,5
37155,141.3,4
37157,165.6,2
37159,270.7,1
37161,120.2,4
37163,67.1,6
37165,113.4,6
37167,153.3,6
37169,105.6,2
37171,138.4,4
37173,26.5,8
37175,87.4,6
37177,11.3,9
37179,318.7,1
37181,179.2,4
37183,1078.8,1
37185,48.9,8
37187,38,7
37189,163.4,5
37191,221.7,3
37193,91.9,6
37195,220.6,4
37197,114.7,2
37199,57,8
38000,9.7,NA
38001,2.4,9
38003,7.4,6
38005,4.8,9
38007,0.7,9
38009,3.9,9
38011,2.7,9
38013,1.8,9
38015,49.8,3
38017,84.9,3
38019,2.7,9
38021,4.7,9
38023,1.6,9
38025,1.8,9
38027,3.8,9
38029,2.4,8
38031,5.3,9
38033,1.7,9
38035,46.5,3
38037,1.4,8
38039,3.4,9
38041,2.2,9
38043,1.8,8
38045,3.6,9
38047,2,9
38049,2.9,9
38051,2.9,9
38053,2.3,9
38055,4.2,8
38057,8.1,7
38059,14.3,3
38061,4.2,9
38063,3.2,8
38065,2.6,3
38067,6.6,9
38069,4.3,7
38071,9.6,7
38073,6.3,8
38075,2.8,9
38077,11.4,6
38079,15.4,9
38081,4.5,9
38083,1.4,9
38085,3.8,3
38087,0.6,9
38089,18.1,7
38091,2.8,8
38093,9.5,7
38095,2.2,9
38097,9.4,8
38099,8.7,6
38101,30.6,5
38103,3.3,9
38105,10.8,7
39000,282.3,NA
39001,48.9,6
39003,264.2,3
39005,125.6,4
39007,144.6,4
39009,128.6,4
39011,114.5,4
39013,132.3,3
39015,91.5,1
39017,788.2,1
39019,73.1,2
39021,93.5,6
39023,348,3
39025,436.5,1
39027,102.9,6
39029,202.7,4
39031,65.4,6
39033,109,4
39035,2800,1
39037,88.5,6
39039,94.9,4
39041,393.2,1
39043,306.4,4
39045,289.8,1
39047,71.4,6
39049,2186.1,1
39051,105.3,2
39053,66.3,6
39055,233.4,1
39057,390.5,2
39059,76.8,6
39061,1976.7,1
39063,140.7,4
39065,68.1,6
39067,39.4,6
39069,67.8,6
39071,78.8,6
39073,69.7,1
39075,100.3,7
39077,121.3,4
39079,79,7
39081,170.7,3
39083,115.9,4
39085,1011.2,1
39087,137.7,2
39089,243.9,1
39091,100,6
39093,613.6,1
39095,1296.2,2
39097,93.2,1
39099,580.2,2
39101,164.7,4
39103,409,1
39105,55.3,6
39107,88.3,7
39109,252.1,2
39111,32.1,8
39113,1159.5,2
39115,36.2,6
39117,85.8,1
39119,129.5,4
39121,36.8,7
39123,162.5,4
39125,47.1,6
39127,88.4,1
39129,111.1,1
39131,65.2,7
39133,331.2,2
39135,99.7,6
39137,71.5,6
39139,251.3,3
39141,113.3,4
39143,149.2,4
39145,130.3,4
39147,103,4
39149,121.2,4
39151,652.9,2
39153,1312.6,2
39155,340.1,2
39157,163.1,4
39159,121.1,1
39161,70.3,6
39163,32.6,8
39165,530,1
39167,97.8,4
39169,206.4,4
39171,89.4,6
39173,203.3,2
39175,55.6,7
40000,54.7,NA
40001,39.6,6
40003,6.5,9
40005,14.5,9
40007,3.1,9
40009,24.5,7
40011,12.9,6
40013,46.9,6
40015,23.2,6
40017,128.9,1
40019,57.8,5
40021,62.7,6
40023,19.7,7
40025,1.3,9
40027,474.7,1
40029,11.5,9
40031,116.1,3
40033,9.8,3
40035,19.7,6
40037,73.6,2
40039,27.8,7
40041,56.2,6
40043,4.8,9
40045,3.4,9
40047,57.2,5
40049,34.4,6
40051,47.6,1
40053,4.5,9
40055,9.8,7
40057,5.4,9
40059,3.5,9
40061,22.1,6
40063,17.4,7
40065,32.9,7
40067,8.5,8
40069,17,9
40071,50.6,5
40073,16.7,6
40075,9.3,6
40077,15.4,7
40079,31.7,2
40081,36,1
40083,56.3,1
40085,18.3,9
40087,60.5,1
40089,17.9,7
40091,32.7,6
40093,7.9,9
40095,42.7,6
40097,63,6
40099,32.4,7
40101,87.6,4
40103,15.8,6
40105,18.6,6
40107,19.7,6
40109,1013.8,1
40111,57.5,2
40113,21.1,2
40115,67.6,6
40117,29.2,2
40119,113,4
40121,35.1,5
40123,52,7
40125,88.2,4
40127,8.3,9
40129,3.2,9
40131,128.6,2
40133,40.3,7
40135,63,2
40137,51.8,4
40139,10.1,7
40141,9.2,6
40143,1058.1,2
40145,130.1,2
40147,122.7,4
40149,11.6,7
40151,6.9,7
40153,16.2,7
41000,39.9,NA
41001,5.3,7
41003,126.6,3
41005,201,1
41007,44.7,4
41009,75.1,1
41011,39.5,5
41013,7,6
41015,13.7,7
41017,52.3,3
41019,21.4,4
41021,1.6,9
41023,1.6,9
41025,0.7,7
41027,42.8,6
41029,73,3
41031,12.2,6
41033,50.4,3
41035,11.2,5
41037,1,7
41039,77.2,2
41041,47,5
41043,50.9,3
41045,3.2,6
41047,266.7,2
41049,5.5,6
41051,1704.9,1
41053,101.8,2
41055,2.1,9
41057,22.9,6
41059,23.6,4
41061,12.6,7
41063,2.2,9
41065,10.6,6
41067,731.4,1
41069,0.8,9
41071,138.6,1
42000,283.9,NA
42001,195.5,3
42003,1675.6,1
42005,105.5,1
42007,392.3,1
42009,49.2,6
42011,480.4,2
42013,241.7,3
42015,54.6,6
42017,1034.7,1
42019,233.1,1
42021,208.7,3
42023,12.8,7
42025,171.1,2
42027,138.7,3
42029,664.7,1
42031,66.6,6
42033,71.3,4
42035,44.2,4
42037,139.3,3
42039,87.7,4
42041,431.6,2
42043,510.6,2
42045,3040.5,1
42047,38.6,7
42049,351.1,2
42051,172.8,1
42053,18.1,9
42055,193.7,3
42057,33.9,8
42059,67.2,6
42061,52.5,6
42063,107.5,4
42065,69.3,7
42067,63,6
42069,467.1,2
42071,550.4,2
42073,254.4,4
42075,369.1,3
42077,1012.5,2
42079,360.4,2
42081,94.5,3
42083,44.4,7
42085,173.4,2
42087,113.6,4
42089,279.2,3
42091,1655.9,1
42093,140.3,3
42095,805.4,2
42097,206.2,4
42099,83.4,2
42101,11379.5,1
42103,105.3,1
42105,16.1,9
42107,190.4,4
42109,120.8,7
42111,72.4,4
42113,14.3,8
42115,52.7,6
42117,37,6
42119,142.2,4
42121,81.5,4
42123,47.3,6
42125,242.5,1
42127,72.8,6
42129,355.4,1
42131,71.2,2
42133,481.1,2
44000,1018.1,NA
44001,2064,1
44003,985.9,1
44005,809.6,1
44007,1530.3,1
44009,385.7,1
45000,153.9,NA
45001,51.8,6
45003,149.5,2
45005,25.5,6
45007,261.6,2
45009,40.6,7
45011,41.2,6
45013,281.5,3
45015,161.8,2
45017,39.8,2
45019,382.3,2
45021,140.9,4
45023,57.1,1
45025,58.5,6
45027,57.6,6
45029,36.8,6
45031,122.4,3
45033,79.2,6
45035,238.2,2
45037,53.9,2
45039,34.9,2
45041,171.1,3
45043,73.9,4
45045,574.7,2
45047,153.2,4
45049,37.7,6
45051,237.5,2
45053,37.8,3
45055,84.9,2
45057,139.6,1
45059,93.2,2
45061,46.9,6
45063,375.4,2
45065,28.5,8
45067,67.6,6
45069,60.3,6
45071,59.5,6
45073,118.6,4
45075,83.6,4
45077,240.2,2
45079,507.9,2
45081,43.9,2
45083,351.9,2
45085,161.6,3
45087,56.3,2
45089,36.8,6
45091,332.2,1
46000,10.7,NA
46003,3.8,9
46005,13.8,7
46007,2.9,9
46009,12.5,9
46011,40.3,5
46013,21.3,5
46015,6.4,9
46017,4.1,9
46019,4.5,6
46021,2,9
46023,8.3,9
46025,3.9,9
46027,33.6,6
46029,39.5,5
46031,1.6,9
46033,5.3,3
46035,44.8,7
46037,5.6,9
46039,7,9
46041,2.3,9
46043,7,9
46045,3.6,9
46047,4.1,6
46049,2.4,9
46051,10.8,7
46053,4.2,9
46055,1.1,8
46057,11.6,9
46059,2.4,9
46061,7.7,8
46063,0.5,9
46065,23,7
46067,9,8
46069,1.7,9
46071,1.6,8
46073,3.9,9
46075,1,9
46077,6.2,9
46079,19.9,6
46081,30.1,6
46083,77.7,3
46085,2.3,9
46087,9.8,3
46089,2.2,9
46091,5.6,9
46093,7.3,3
46095,1.6,9
46097,4.2,8
46099,210,3
46101,12.5,8
46102,NA,6
46103,36.4,3
46105,1,8
46107,2.7,9
46109,9.2,9
46111,4.1,9
46115,4.3,9
46117,2.1,9
46119,1.4,9
46121,6.9,9
46123,3.5,7
46125,13.5,3
46127,31.3,3
46129,7.7,7
46135,43.1,7
46137,1.4,8
47000,153.9,NA
47001,222.8,2
47003,95.1,4
47005,41.8,7
47007,31.7,8
47009,220.2,2
47011,301,3
47013,84.8,2
47015,52,1
47017,47.6,6
47019,168.3,3
47021,129.3,1
47023,60,3
47025,74.1,6
47027,33.2,9
47029,82.1,6
47031,123.1,4
47033,54.9,3
47035,82.3,4
47037,1243.3,1
47039,35.2,9
47041,61.5,6
47043,101.4,1
47045,74.8,5
47047,54.5,1
47049,36,9
47051,74,6
47053,82.4,4
47055,48.3,6
47057,80.7,2
47059,110.6,4
47061,38,8
47063,388,3
47065,620.3,2
47067,30.7,8
47069,40.8,6
47071,45.1,6
47073,116.7,2
47075,35.2,6
47077,53.4,6
47079,57.5,7
47081,40.3,1
47083,42.1,8
47085,34.9,6
47087,37.7,8
47089,187.6,3
47091,61.1,6
47093,850.5,2
47095,47.2,9
47097,58.9,6
47099,67.8,6
47101,43.1,6
47103,58.5,6
47105,211.8,2
47107,121.5,4
47109,46.3,6
47111,72.4,1
47113,176.4,3
47115,56.7,2
47117,81.5,6
47119,132,1
47121,60.2,8
47123,70,6
47125,319.6,2
47127,49.2,9
47129,42.1,2
47131,58.4,7
47133,50.9,7
47135,19.1,8
47137,31.2,9
47139,38.7,3
47141,180.3,4
47143,100.9,6
47145,150.2,2
47147,139.2,1
47149,424,1
47151,41.8,6
47153,53.1,2
47155,151.7,4
47157,1215.5,1
47159,61,1
47161,29,8
47163,379.4,2
47165,303.4,1
47167,133.3,1
47169,68.9,1
47171,98.4,3
47173,85.5,2
47175,20.3,9
47177,92.1,6
47179,376.7,3
47181,23.2,8
47183,60.3,7
47185,68.6,7
47187,314.4,1
47189,199.7,1
48000,96.3,NA
48001,55,7
48003,9.9,6
48005,108.8,5
48007,91.9,2
48009,10,3
48011,2.1,2
48013,36.8,1
48015,44,1
48017,8.7,7
48019,25.9,1
48021,83.5,1
48023,4.3,8
48025,36.2,6
48027,295.2,2
48029,1383.1,1
48031,14.8,8
48033,0.7,8
48035,18.5,6
48037,104.6,3
48039,230.7,1
48041,332.8,3
48043,1.5,7
48045,1.8,9
48047,7.7,7
48049,40.3,5
48051,26.1,3
48053,43,6
48055,69.8,1
48057,42.2,6
48059,15.1,3
48061,456,2
48063,63.3,6
48065,6.7,2
48067,32.5,6
48069,9,6
48071,58.8,1
48073,48.3,6
48075,10.1,7
48077,9.9,3
48079,4,9
48081,3.6,8
48083,7,6
48085,930,1
48087,3.3,9
48089,21.7,6
48091,193.9,1
48093,14.9,7
48095,4.2,8
48097,43.9,6
48099,71.7,2
48101,1.7,9
48103,5.6,6
48105,1.3,7
48107,6.7,2
48109,0.6,9
48111,4.5,7
48113,2718,1
48115,15.4,7
48117,12.9,6
48119,20.4,8
48121,754.3,1
48123,22.1,6
48125,2.7,8
48127,7.5,6
48129,4,8
48131,6.6,7
48133,20.1,6
48135,152.8,3
48137,0.9,9
48139,159.9,1
48141,790.6,2
48143,35,4
48145,23.3,2
48147,38.1,6
48149,25.8,6
48151,4.4,8
48153,6.5,6
48155,1.9,9
48157,679.5,1
48159,37.3,7
48161,22.6,7
48163,15.2,6
48165,11.7,7
48167,769.9,1
48169,7.2,6
48171,23.5,7
48173,1.4,8
48175,8.5,3
48177,18.6,6
48179,24.3,6
48181,129.6,3
48183,445.4,3
48185,33.8,6
48187,184.9,1
48189,36.1,4
48191,3.8,9
48193,10.2,6
48195,6.1,7
48197,6,9
48199,61.3,2
48201,2402.4,1
48203,72.9,4
48205,4.1,7
48207,6.5,6
48209,231.7,1
48211,4.2,7
48213,89.9,4
48215,493.2,2
48217,36.6,6
48219,25.2,6
48221,121.7,1
48223,45.8,6
48225,19.3,7
48227,38.9,4
48229,0.8,2
48231,102.5,1
48233,25,6
48235,1.5,3
48237,9.9,6
48239,17,6
48241,38,6
48243,1,9
48245,287.9,2
48247,4.7,6
48249,47.2,4
48251,208.3,1
48253,21.8,3
48255,19.8,6
48257,132.4,1
48259,50.4,1
48261,0.3,9
48263,0.9,9
48265,45,4
48267,3.7,7
48269,0.3,9
48271,2.6,7
48273,36.4,4
48275,4.4,9
48277,54.9,5
48279,13.8,6
48281,27.6,2
48283,4.6,6
48285,19.9,6
48287,26.4,6
48289,15.7,8
48291,65.3,1
48293,25.8,6
48295,3.5,9
48297,11.1,8
48299,20.7,7
48301,0.1,9
48303,311.3,2
48305,6.6,2
48307,7.8,7
48309,226.5,2
48311,0.6,9
48313,29.3,6
48315,27.7,8
48317,5.2,3
48319,4.3,9
48321,33.4,4
48323,42.4,5
48325,34.7,1
48327,2.5,9
48329,152,3
48331,24.3,6
48333,6.6,9
48335,10.3,7
48337,21.2,6
48339,437.5,1
48341,24.3,7
48343,51.3,6
48345,1.2,9
48347,68.2,5
48349,47.3,4
48351,15.5,2
48353,16.7,6
48355,405.8,2
48357,11.1,7
48359,1.4,2
48361,245.3,2
48363,29.5,6
48365,29.7,6
48367,129.4,1
48369,11.7,7
48371,3.3,7
48373,43,6
48375,133.3,2
48377,2,7
48379,47.6,8
48381,132.4,2
48383,2.9,6
48385,4.7,9
48387,12.4,6
48389,5.2,7
48391,9.6,6
48393,1,9
48395,19.4,3
48397,616.7,1
48399,10,6
48401,57.7,3
48403,22,8
48405,16.7,9
48407,46.3,8
48409,93.5,2
48411,5.4,7
48413,2.6,8
48415,18.7,7
48417,3.7,8
48419,32,7
48421,3.3,9
48423,227.6,3
48425,45.5,1
48427,49.8,4
48429,10.7,7
48431,1.2,8
48433,1.6,9
48435,2.8,7
48437,8.8,6
48439,2094.7,1
48441,143.6,3
48443,0.4,9
48445,14.2,6
48447,1.8,9
48449,79.6,7
48451,72.4,3
48453,1034.4,1
48455,21,7
48457,23.5,6
48459,67.4,3
48461,2.7,8
48463,17,6
48465,15.5,5
48467,62.4,6
48469,98.4,3
48471,86.5,4
48473,84.1,1
48475,12.8,6
48477,55.8,6
48479,74.5,2
48481,38,4
48483,5.9,9
48485,209.5,3
48487,13.9,6
48489,37.5,6
48491,378,1
48493,53.4,1
48495,8.5,6
48497,65.4,1
48499,65,6
48501,9.9,7
48503,20.3,7
48505,14,6
48507,9,7
49000,33.6,NA
49001,2.6,7
49003,8.7,2
49005,96.7,3
49007,14.5,7
49009,1.5,9
49011,1025.8,2
49013,5.7,7
49015,2.5,7
49017,1,9
49019,2.5,7
49021,14,4
49023,3,2
49025,1.8,6
49027,1.9,7
49029,15.5,2
49031,2.1,9
49033,2.2,8
49035,1387.1,1
49037,1.9,7
49039,17.5,6
49041,10.9,7
49043,19.4,4
49045,8.4,1
49047,7.3,7
49049,257.8,2
49051,20,6
49053,56.9,3
49055,1.1,9
49057,401.4,2
50000,67.9,NA
50001,48,6
50003,55,6
50005,48.1,7
50007,291.7,3
50009,9.5,9
50011,75.3,3
50013,85.2,3
50015,53.3,8
50017,42.1,9
50019,39.3,7
50021,66.3,4
50023,86.6,4
50025,56.7,7
50027,58.5,7
51000,202.6,NA
51001,73.8,8
51003,137.3,3
51005,36.5,6
51007,35.7,1
51009,68.3,2
51011,44.9,2
51013,7993.5,1
51015,76.3,3
51017,8.9,8
51019,91.2,2
51021,19.1,8
51023,61.2,2
51025,30.8,6
51027,47.9,9
51029,29.6,3
51031,108.8,2
51033,54.1,1
51035,63.3,7
51036,39.7,1
51037,26.5,8
51041,747.1,1
51043,79.7,1
51045,15.7,2
51047,123.1,1
51049,33.8,8
51051,48.1,9
51053,55.6,1
51057,43.4,6
51059,2766.8,1
51061,100.7,1
51063,40.2,3
51065,89.8,3
51067,81.3,2
51069,189.4,3
51071,48.6,3
51073,169.2,1
51075,77.2,1
51077,35.1,9
51079,117.8,3
51081,41.5,6
51083,44.3,6
51085,213.1,1
51087,1313.4,1
51089,141.6,4
51091,5.6,8
51093,111.8,1
51095,470.4,1
51097,22,8
51099,131.3,6
51101,58.2,1
51103,85.5,9
51105,58.8,8
51107,605.8,1
51109,66.8,8
51111,29.9,9
51113,41.5,8
51115,104.5,1
51117,52.3,7
51119,84.1,8
51121,243.9,3
51125,31.9,3
51127,87.9,1
51131,58.5,8
51133,64.5,9
51135,50.4,6
51137,98.2,6
51139,77.3,6
51141,38.3,8
51143,65.5,4
51145,107.8,1
51147,66.8,6
51149,134.7,1
51153,1195,1
51155,109,3
51157,27.7,1
51159,48.3,9
51161,368.7,2
51163,37.3,6
51165,89.9,3
51167,61,7
51169,43.3,2
51171,82.5,6
51173,71.4,7
51175,31,6
51177,304.9,1
51179,479.5,1
51181,25.3,8
51183,24.7,1
51185,86.9,5
51187,176,1
51191,97.8,2
51193,76.1,6
51195,102.8,7
51197,63.3,6
51199,624.8,1
51510,9314.3,1
51520,1370.6,2
51530,992,6
51540,4246.3,3
51550,652,1
51570,2315.3,1
51580,1090.1,6
51590,1002.8,4
51595,859.8,6
51600,3616.6,1
51610,6169.8,1
51620,1045.8,6
51630,2326.2,1
51640,854.7,7
51650,2673.2,1
51660,2808.2,3
51670,2197.9,1
51678,2820.3,6
51680,1538.2,2
51683,3827.8,1
51685,5633.1,1
51690,1261.5,4
51700,2630,1
51710,4486.3,1
51720,529.1,7
51730,1413.8,1
51735,793.3,1
51740,2838.9,1
51750,1662.2,3
51760,3414.7,1
51770,2279.8,2
51775,1718,2
51790,1188.8,3
51800,211.4,1
51810,1758.9,1
51820,1396.8,3
51830,1559.3,1
51840,2838.1,3
53000,101.2,NA
53001,9.7,6
53003,34,3
53005,103,2
53007,24.8,3
53009,41.1,5
53011,676.2,1
53013,4.7,3
53015,89.8,3
53017,21.1,3
53019,3.4,9
53021,62.9,2
53023,3.2,8
53025,33.3,5
53027,38.3,4
53029,376.6,4
53031,16.6,6
53033,912.9,1
53035,635.9,2
53037,17.8,4
53039,10.9,6
53041,31.4,4
53043,4.6,8
53045,63.3,4
53047,7.8,6
53049,22.4,7
53051,9.3,2
53053,476.3,1
53055,90.7,9
53057,67.5,3
53059,6.7,1
53061,341.8,1
53063,267.2,2
53065,17.6,2
53067,349.4,2
53069,15.1,8
53071,46.3,3
53073,95.5,3
53075,20.7,4
53077,56.6,3
54000,77.1,NA
54001,48.6,6
54003,324.4,2
54005,49.1,3
54007,28.4,8
54009,269.8,3
54011,342.8,2
54013,27.3,8
54015,27.5,3
54017,25.7,9
54019,69.6,3
54021,25.7,7
54023,25,7
54025,34.8,6
54027,37.4,3
54029,371.3,3
54031,24.1,6
54033,166.1,5
54035,62.9,6
54037,255.2,1
54039,214.1,3
54041,42.5,7
54043,49.7,2
54045,81,6
54047,41.5,7
54049,182.7,4
54051,108.4,3
54053,63.4,6
54055,148.6,4
54057,86.1,3
54059,63.4,7
54061,267.1,3
54063,28.6,8
54065,76.6,8
54067,40.6,6
54069,420,3
54071,11.1,8
54073,58.5,6
54075,9.3,9
54077,51.7,3
54079,160.5,2
54081,130.3,3
54083,28.3,7
54085,23.1,8
54087,30.9,6
54089,38.6,6
54091,97.8,6
54093,17,8
54095,35.9,9
54097,68.4,7
54099,84,2
54101,16.5,9
54103,46.3,6
54105,24.6,3
54107,237.4,3
54109,47.6,6
55000,105,NA
55001,32.3,8
55003,15.5,7
55005,53.2,6
55007,10.2,8
55009,468.2,2
55011,20.2,8
55013,18.8,8
55015,153.9,3
55017,61.9,3
55019,28.7,6
55021,74.2,2
55023,29.2,7
55025,407.7,2
55027,101.4,4
55029,57.6,6
55031,33.9,2
55033,51.6,6
55035,154.8,3
55037,9.1,9
55039,141.2,3
55041,9.2,9
55043,44.7,6
55045,63.1,2
55047,54.5,6
55049,31.1,2
55051,7.8,9
55053,20.7,6
55055,150.4,4
55057,34.8,7
55059,611.9,1
55061,60.1,2
