SUPERCOUNTY,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,test,fatality_rate
01000_0,0.11825337377119188,0.12769050282004712,0.13360861957679016,0.11913483700015196,0.12402099680591733,0.1346366675999232,0.12185300770009924,0.08061626201934236,0.04018573270653675,1.0,0.01009000142636777
01000_1,0.11753278820470425,0.12802064831563986,0.13903508412933574,0.13194950329996535,0.12126792881133039,0.1486280383827305,0.11153855598209098,0.0658929005044759,0.03613455236972708,1.0000000000000002,0.009036100485377292
01000_2,0.12364731344688058,0.14209090053636964,0.12392961324927071,0.10567422602804177,0.11188482168062483,0.12599981180013173,0.13418650606944574,0.0834666415733509,0.04912016561588407,0.9999999999999999,0.011062727524230733
01000_4,0.11832118831959926,0.12846221172933392,0.1213643781576405,0.12216269525978726,0.12879011448850952,0.13591191018491194,0.12586799643847157,0.08069182437528219,0.038427681046463824,1.0,0.01004768948857259
02000_0,0.12724914655416586,0.12307508832605357,0.11848362427513007,0.12477452631892785,0.11366854996198625,0.13886197283880683,0.15151831368047586,0.07526721426335325,0.02710156378110046,1.0,0.00942142087327261
02000_1,0.14008808457216554,0.1275614156645103,0.1654775706768929,0.155945365612716,0.11910625716030157,0.1234761849227202,0.1002853830375457,0.047283716016436966,0.020776022336710824,1.0,0.0067000964491764365
02000_2,0.14176728363511443,0.13221949441544406,0.16227471155538054,0.14979848676548219,0.11694470744970548,0.12252507394404552,0.1078619487712301,0.049477573797414263,0.017130719666183482,1.0,0.006640921589566558
04000_0,0.129677457513505,0.1285339694806987,0.12047040731832341,0.11502898150703836,0.10093253420606443,0.11767083316903908,0.13660738929852922,0.10055794329876583,0.05052048420803596,1.0,0.01188897392650132
04000_2,0.09166745663096028,0.0927576073561475,0.09071949947862357,0.08536354156792113,0.07626315290548867,0.10631339463456252,0.14385249786709642,0.20020855057351405,0.11285429898568586,1.0,0.021011264522703573
05000_0,0.12363333055056366,0.13209295036564128,0.13063712244040113,0.12023395769897169,0.11954192681901599,0.13106552250894515,0.11992638841899138,0.08078453600244884,0.0420842651950209,1.0,0.010180047771514105
05000_1,0.1398103102818264,0.145305150038562,0.1559690640521696,0.1473578651762568,0.12491733209830269,0.11145497469430048,0.09000351277255877,0.056110163687351465,0.029071627198671818,1.0,0.007455357860858882
05000_4,0.1287246507435782,0.13095989184317258,0.13275249111211257,0.12416403785488958,0.11863201642381452,0.12798958489810225,0.1177647589004056,0.07750037554453959,0.04151219267938511,1.0,0.009937351672725452
06000_0,0.14596926587513814,0.14539879488002283,0.13120832887652867,0.12393482368880807,0.1088173423182515,0.1236852426284451,0.11298891147003244,0.06931222590651406,0.03868506435625914,1.0,0.009233407080971227
06000_1,0.11522358925147097,0.12835711396526003,0.1370596298049131,0.12660423056705059,0.11948068536692807,0.13005497411778577,0.12567767841205532,0.07618492395820198,0.04135717455633414,0.9999999999999999,0.010038325869015197
06000_2,0.11967752607476798,0.12152786242041175,0.12621870882740446,0.12250526719019345,0.11088784802632724,0.12767552947595084,0.13935447174290308,0.08842378970706877,0.0437289965349724,0.9999999999999999,0.010975909090676928
06000_4,0.11950964415148493,0.11688273782015421,0.11708705275703549,0.12791574441174325,0.10917714591491742,0.12778926373653102,0.14725755843650426,0.09069150876851603,0.043689344003113376,1.0,0.011221745852650011
08000_0,0.10419079308638754,0.11692410575935018,0.1126017387333018,0.12129812371212492,0.11683167778520825,0.1425103437776944,0.1571302745110832,0.08810017017621122,0.04041277245863848,1.0,0.011138506630891602
08000_1,0.11132149678065234,0.12883349670914437,0.1581845322336999,0.13044093591993494,0.11403879902391643,0.11953597296999348,0.12451918349834787,0.07342228128249514,0.03970330158181552,1.0,0.009707110283886577
08000_2,0.11683451279259663,0.1235540283070223,0.1362403034839412,0.14656198965704953,0.1340968630919978,0.13215755988023953,0.12342218971148611,0.061560118399564503,0.02557243467610234,1.0,0.008189969278204954
08000_3,0.10845362715984269,0.1260190100553791,0.1308575163098937,0.14577433298554182,0.14830824265911463,0.13003198917642203,0.1123978123530963,0.06668424733710171,0.031473221963608015,1.0,0.0086647144180607
09000_4,0.10254898442239825,0.127440676083297,0.12944875968793526,0.12700487921590742,0.12341596383740504,0.1524178181103506,0.1272612303143719,0.07070163295649723,0.03976005537183727,0.9999999999999999,0.009846741624582362
12000_0,0.10678602501990747,0.11378744688494094,0.12496158505853412,0.12077794183329077,0.12007178984261142,0.133178626404621,0.1337714116347077,0.09799805227710115,0.04866712104428543,1.0,0.01170804592746986
12000_1,0.10643111535871595,0.12980693109914407,0.17064116577676802,0.12177209056554823,0.11713660564231987,0.12198765015251317,0.11902895175089706,0.0758559909350517,0.03733949871904192,1.0,0.009537031421720394
12000_2,0.08692870566596025,0.07913151265544405,0.10869420342010211,0.12276913644421342,0.12899356231756567,0.1614218881202767,0.159329308115745,0.10630839564423475,0.04642328761645807,1.0,0.012558314136244286
12000_4,0.1013941685208394,0.10817082207045459,0.1295819153729804,0.11213030837429279,0.1052286893716623,0.12834470553524363,0.14183215947043687,0.1156231187125136,0.05769411257157643,1.0,0.013263069237446287
13000_0,0.12257651523913823,0.13375131596451212,0.13514030760659618,0.12114653809723774,0.12154840439628531,0.13233106419544943,0.11906079295827433,0.07797699740923014,0.03646806413327651,0.9999999999999999,0.009618135790205646
13000_1,0.128977696111638,0.15172260985412997,0.12062008874136296,0.12826711601860633,0.14397608725105,0.1369225037257824,0.10149228875942737,0.061344866323443076,0.026676743214559907,1.0,0.007869788135711625
13000_3,0.10163355061650828,0.14279431398727715,0.28179533495641246,0.13282023089609676,0.09813084112149534,0.08850231681457629,0.08368805466111678,0.04684677609361502,0.02378858085290191,1.0,0.0063710457559098405
13000_4,0.1256317874025808,0.13224479366296155,0.12182956432860612,0.1257544397598058,0.13060942889996166,0.13290916059793023,0.11661172863165964,0.07910565989523444,0.03530343682125974,0.9999999999999998,0.009546083131723521
15000_3,0.12342869969798384,0.110624642886295,0.1502142682230022,0.14157211656191332,0.11871377846706391,0.12009631866786386,0.11006346420700351,0.07378989470247327,0.05149681658640111,1.0,0.01038046501561097
15000_4,0.12078441692034425,0.11577266502000515,0.10802777395683194,0.13769160382041423,0.12703415526861914,0.1377035650421334,0.13446207395623389,0.07817854515660229,0.04034520085881572,1.0,0.010271529754137088
16000_0,0.15077284610219854,0.14826931043842229,0.1275910344137941,0.12570177568891872,0.10921986828759589,0.11600905701347124,0.11442336538049457,0.0714989785860202,0.03651376408908444,1.0,0.009140948799660004
