,N2,alpha_mu,alpha_var,alphas
0,150,0.3,0.3,-0.036330865614159866
1,150,0.3,0.3,-0.6733967049248791
2,150,0.3,0.3,-0.007463976208634296
3,150,0.3,0.3,-0.0634090750654625
4,150,0.3,0.3,-0.12267613712417587
5,150,0.3,0.3,-0.006611022846158432
6,150,0.3,0.3,-0.18375693559380324
7,150,0.3,0.3,-0.15557336863717558
