FIPS,County,State,Not_enough_data,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
19115,Louisa County,Iowa,True,,1.008,1.926,-5.033,2.966,9.159,,,3.091,3.886,4.965,3.965,9.159,,,4.132,2.906,0.966,3.965,-1.1840000000000002,,,-14.615,-15.718,-18.031,-16.032,-12.675999999999998,,,-20.864,-23.56,-25.03,-28.03,-18.422,,,-21.906,-27.481,-26.03,-29.03,-23.019,,
19117,Lucas County,Iowa,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19119,Lyon County,Iowa,True,,6.115,7.063,4.894,5.875,-0.009000000000000001,,,9.177,8.074,5.875,3.914,1.022,,,6.115,3.022,5.875,2.9330000000000003,5.147,,,-7.154,-10.113,-17.66,-20.602,-20.633000000000006,,,-16.34,-23.247,-23.544,-22.564,-23.727,,,-22.464,-24.257,-25.506,-26.486,-27.851,,
19121,Madison County,Iowa,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19123,Mahaska County,Iowa,False,3.696,2.044,1.538,4.033,1.492,-1.145,8.058,1.844,3.069,4.632,3.528,-0.009000000000000001,7.38,6.445,3.696,-3.599,-0.524,-1.019,-3.509,2.833,3.218,-3.713,-10.781,-16.507,-21.731,-24.515,-25.015,-11.300999999999998,-29.645,-26.682,-26.82,-27.793000000000006,-31.016,-27.288,-22.595,-22.236,-29.76,-29.397,-32.845,-34.017,-34.108000000000004,-24.208,-22.236
19125,Marion County,Iowa,False,0.0,6.882999999999999,0.343,2.43,4.577,15.897,8.332,8.954,5.796,2.739,1.736,2.113,14.224,5.952000000000001,1.493,2.536,1.37,2.083,1.761,9.204,-4.761,-5.9689999999999985,-16.302,-24.311,-27.426,-31.684,-25.937,-17.854,-28.353,-29.705,-35.268,-35.41,-35.909,-29.702,-27.376,-19.399,-33.327,-38.35,-35.758,-39.43,-31.375,-28.566,-22.384
19127,Marshall County,Iowa,False,0.941,3.632,2.168,2.4090000000000003,2.156,1.699,10.456,2.883,6.45,4.641,3.764,2.9760000000000004,-2.336,10.456,5.796,-8.765,-8.0,-8.163,-8.229,-9.543,10.456,1.912,-8.765,-14.32,-19.006,-23.807,-23.668000000000006,-8.904,-22.366,-25.671,-29.159,-29.848000000000006,-33.372,-36.063,-12.937,-29.164,-36.096,-36.029,-38.523,-38.018,-39.81,-12.130999999999998,-24.308000000000003
19129,Mills County,Iowa,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19131,Mitchell County,Iowa,True,,0.0,2.501,11.691,7.694,4.055,,,10.814,5.002,0.0,2.565,-14.868,,,4.055,-3.75,0.0,0.0,2.7030000000000003,,,-4.055,-17.504,-14.289,-20.518,-21.627,,,-20.275,-27.506,-27.279,-25.647,-28.385,,,-25.682,-31.257,-28.578000000000007,-32.059,-29.737,,
19133,Monona County,Iowa,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19135,Monroe County,Iowa,True,,3.024,4.539,11.936,6.148,10.341,,,3.024,3.024,4.471,4.609,12.065,,,-3.0380000000000003,-0.006999999999999999,1.486,3.07,5.167000000000002,,,-12.130999999999998,-4.5539999999999985,-13.443,-13.857,-13.804,,,-19.709,-24.255,-22.401,-26.168000000000006,-25.876,,,-25.771,-25.771,-28.373,-26.168000000000006,-31.049,,
19137,Montgomery County,Iowa,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
