,index,Cluster,County,R_0,R_{end_date},# (\%) infected as predicted,Measured cases,Population,Fatality rate (measured death/cases)
84,233,5,"Susquehanna County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",970 (2.4),214,"40,589",12.62\%
85,234,5,"Tioga County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",107 (0.3),38,"40,763",7.89\%
86,202,5,"Preble County, OH","3.414 (3.217,~3.614)","1.034 (0.967,~1.099)",215 (0.5),203,"40,997",0.99\%
87,315,5,"Okeechobee County, FL","3.837 (3.667,~4.022)","1.178 (1.117,~1.243)",975 (2.3),"1,039","41,537",1.15\%
88,345,5,"Pettis County, MO","1.094 (0.981,~1.281)","1.352 (1.255,~1.448)",688 (1.6),505,"42,542",0.79\%
89,338,5,"Butler County, MO","1.094 (0.981,~1.281)","1.352 (1.255,~1.448)",344 (0.8),281,"42,639",0.71\%
90,74,5,"Cerro Gordo County, IA","0.988 (0.867,~1.235)","0.924 (0.863,~0.985)","1,005 (2.4)",625,"42,647",2.72\%
91,84,5,"Muscatine County, IA","0.988 (0.867,~1.235)","0.924 (0.863,~0.985)","2,838 (6.6)",847,"42,929",5.67\%
92,140,5,"DeKalb County, IN","3.240 (3.038,~3.460)","0.981 (0.913,~1.050)",563 (1.3),232,"43,226",1.72\%
93,256,5,"Caldwell County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","3,024 (7.0)","1,145","43,247",2.27\%
94,13,5,"Mecosta County, MI","2.910 (2.712,~3.092)","0.723 (0.164,~0.919)",218 (0.5),69,"43,545",2.90\%
95,154,5,"Miller County, AR","0.967 (0.889,~1.052)","0.986 (0.282,~1.177)",525 (1.2),512,"43,592",0.98\%
96,193,5,"Brown County, OH","3.414 (3.217,~3.614)","1.034 (0.967,~1.099)",215 (0.5),129,"43,602",1.55\%
97,225,5,"Jefferson County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",35 (0.1),71,"43,641",1.41\%
98,170,5,"Richmond County, NC","3.545 (3.310,~3.852)","0.988 (0.677,~1.084)","1,149 (2.6)",506,"44,887",1.78\%
99,277,5,"Wood County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)",814 (1.8),316,"45,129",2.22\%
100,223,5,"Huntingdon County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",143 (0.3),308,"45,168",1.30\%
101,66,5,"Macoupin County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)",298 (0.7),179,"45,313",1.68\%
102,172,5,"Stokes County, NC","3.545 (3.310,~3.852)","0.988 (0.677,~1.084)",383 (0.8),291,"45,467",1.03\%
103,185,5,"Henderson County, KY","1.335 (1.113,~1.825)","1.029 (0.941,~1.108)",385 (0.8),344,"45,591",0.87\%
104,308,5,"Gadsden County, FL","3.837 (3.667,~4.022)","1.178 (1.117,~1.243)","1,706 (3.7)","1,884","45,894",1.11\%
105,97,5,"Monroe County, WI","3.507 (3.272,~3.737)","0.934 (0.881,~0.991)",223 (0.5),243,"46,051",0.82\%
106,229,5,"Mifflin County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",35 (0.1),120,"46,222",0.83\%
107,243,5,"Goodhue County, MN","1.207 (1.037,~1.645)","1.081 (1.011,~1.150)","1,411 (3.0)",196,"46,403",4.59\%
108,76,5,"Clinton County, IA","0.988 (0.867,~1.235)","0.924 (0.863,~0.985)",177 (0.4),397,"46,518",0.76\%
109,31,5,"St. Bernard Parish, LA","2.914 (2.621,~3.194)","0.830 (0.230,~1.033)","4,664 (10.0)","1,103","46,721",2.18\%
110,255,5,"Burnet County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","1,047 (2.2)",557,"47,542",1.62\%
111,149,5,"Crittenden County, AR","0.967 (0.889,~1.052)","0.986 (0.282,~1.177)","2,415 (5.0)","1,356","48,342",1.70\%
112,57,5,"Henry County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)",99 (0.2),234,"49,090",0.43\%
113,61,5,"Knox County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)",99 (0.2),299,"50,112",0.33\%
114,91,5,"Calumet County, WI","3.507 (3.272,~3.737)","0.934 (0.881,~0.991)",223 (0.4),320,"50,159",0.62\%
115,249,5,"Winona County, MN","1.207 (1.037,~1.645)","1.081 (1.011,~1.150)","2,509 (4.9)",261,"50,825",6.13\%
116,54,5,"Coles County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)","1,991 (3.9)",472,"50,885",4.24\%
117,88,5,"Warren County, IA","0.988 (0.867,~1.235)","0.924 (0.863,~0.985)",59 (0.1),564,"51,056",0.18\%
118,237,5,"Wayne County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",323 (0.6),160,"51,276",5.62\%
119,95,5,"Grant County, WI","3.507 (3.272,~3.737)","0.934 (0.881,~0.991)","1,676 (3.3)",356,"51,554",4.21\%
120,7,5,"Cass County, MI","2.910 (2.712,~3.092)","0.723 (0.164,~0.919)","1,531 (3.0)",321,"51,653",4.36\%
121,42,5,"Worcester County, MD","0.961 (0.796,~1.153)","0.857 (0.777,~0.933)","2,336 (4.5)",694,"51,823",2.88\%
122,116,5,"Culpeper County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)","1,849 (3.6)","1,005","51,859",1.19\%
123,281,5,"Dickson County, TN","0.967 (0.885,~1.059)","1.101 (1.008,~1.205)",196 (0.4),691,"53,446",0.29\%
124,343,5,"Johnson County, MO","1.094 (0.981,~1.281)","1.352 (1.255,~1.448)",344 (0.6),487,"53,652",0.41\%
125,113,5,"Campbell County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)",308 (0.6),213,"54,973",0.94\%
126,298,5,"Pearl River County, MS","3.292 (3.130,~3.450)","1.129 (1.072,~1.183)","7,035 (12.7)",550,"55,387",7.09\%
127,72,5,"Whiteside County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)","1,692 (3.0)",355,"55,626",4.79\%
128,240,5,"Chisago County, MN","1.207 (1.037,~1.645)","1.081 (1.011,~1.150)",156 (0.3),201,"55,922",0.50\%
129,231,5,"Pike County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",754 (1.3),526,"55,933",3.99\%
130,118,5,"Franklin County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)",154 (0.3),172,"56,195",0.58\%
131,279,5,"Carter County, TN","0.967 (0.885,~1.059)","1.101 (1.008,~1.205)",590 (1.0),522,"56,351",1.15\%
132,283,5,"Hawkins County, TN","0.967 (0.885,~1.059)","1.101 (1.008,~1.205)",689 (1.2),472,"56,530",1.48\%
133,92,5,"Columbia County, WI","3.507 (3.272,~3.737)","0.934 (0.881,~0.991)",111 (0.2),248,"57,358",0.40\%
134,59,5,"Jackson County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)","1,891 (3.3)",717,"57,419",2.65\%
135,135,5,"Russell County, AL","3.505 (3.300,~3.715)","0.970 (0.281,~1.133)",205 (0.4),"1,368","57,781",0.15\%
136,344,5,"Newton County, MO","1.094 (0.981,~1.281)","1.352 (1.255,~1.448)","1,032 (1.8)",869,"58,266",0.69\%
137,188,5,"Pike County, KY","1.335 (1.113,~1.825)","1.029 (0.941,~1.108)",385 (0.7),249,"58,402",1.20\%
138,199,5,"Lawrence County, OH","3.414 (3.217,~3.614)","1.034 (0.967,~1.099)",0 (0.0),283,"59,866",0.00\%
139,205,5,"Washington County, OH","3.414 (3.217,~3.614)","1.034 (0.967,~1.099)","2,367 (3.9)",203,"60,155",10.84\%
140,215,5,"Bradford County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",107 (0.2),85,"60,833",3.53\%
141,327,5,"Georgetown County, SC","3.662 (3.492,~3.832)","1.256 (1.202,~1.309)","3,493 (5.6)","1,454","62,249",1.31\%
142,296,5,"Lamar County, MS","3.292 (3.130,~3.450)","1.129 (1.072,~1.183)","2,525 (4.0)","1,220","62,447",1.15\%
143,127,5,"Salem County, NJ","0.968 (0.895,~1.065)","0.946 (0.863,~1.028)","9,475 (15.1)",894,"62,607",9.73\%
144,241,5,"Clay County, MN","1.207 (1.037,~1.645)","1.081 (1.011,~1.150)","6,273 (9.8)",784,"63,955",5.10\%
145,218,5,"Carbon County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)","1,006 (1.6)",372,"64,227",7.53\%
146,101,5,"Sauk County, WI","3.507 (3.272,~3.737)","0.934 (0.881,~0.991)",335 (0.5),444,"64,249",0.68\%
147,213,5,"Armstrong County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",251 (0.4),212,"65,263",3.30\%
148,186,5,"McCracken County, KY","1.335 (1.113,~1.825)","1.029 (0.941,~1.108)",514 (0.8),366,"65,346",1.09\%
149,219,5,"Columbia County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)","1,258 (1.9)",471,"65,456",7.43\%
150,329,5,"Kershaw County, SC","3.662 (3.492,~3.832)","1.256 (1.202,~1.309)","4,596 (7.0)","1,394","65,592",1.79\%
151,51,5,"Adams County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)",497 (0.8),519,"65,691",0.96\%
152,269,5,"Nacogdoches County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","4,886 (7.4)","1,147","65,711",3.66\%
153,198,5,"Jefferson County, OH","3.414 (3.217,~3.614)","1.034 (0.967,~1.099)",215 (0.3),229,"65,767",0.87\%
154,263,5,"Harrison County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","2,675 (4.0)",693,"66,726",3.32\%
155,324,5,"Darlington County, SC","3.662 (3.492,~3.832)","1.256 (1.202,~1.309)","6,435 (9.6)","1,295","66,802",2.70\%
156,272,5,"San Patricio County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","3,024 (4.5)",935,"66,893",2.78\%
157,192,5,"Belmont County, OH","3.414 (3.217,~3.614)","1.034 (0.967,~1.099)","2,798 (4.1)",621,"67,505",4.19\%
158,16,5,"Shiawassee County, MI","2.910 (2.712,~3.092)","0.723 (0.164,~0.919)","3,063 (4.5)",341,"68,192",8.21\%
159,44,5,"Jones County, MS","0.732 (0.651,~0.820)","0.874 (0.776,~0.965)","7,590 (11.1)","1,899","68,461",3.05\%
160,106,5,"Iberia Parish, LA","0.891 (0.836,~0.947)","0.943 (0.239,~1.112)","8,977 (12.7)","2,532","70,941",2.84\%
161,50,5,"Franklin County, MA","3.316 (3.060,~3.562)","0.913 (0.785,~1.029)","5,363 (7.6)",411,"70,963",14.84\%
162,34,5,"Allegany County, MD","0.961 (0.796,~1.153)","0.857 (0.777,~0.933)","2,102 (3.0)",291,"70,975",6.19\%
163,286,5,"Robertson County, TN","0.967 (0.885,~1.059)","1.101 (1.008,~1.205)","1,871 (2.6)","1,558","71,012",1.22\%
164,320,5,"Walton County, FL","3.837 (3.667,~4.022)","1.178 (1.117,~1.243)","1,219 (1.7)","1,408","71,375",1.07\%
165,181,5,"Christian County, KY","1.335 (1.113,~1.825)","1.029 (0.941,~1.108)","1,028 (1.4)",501,"71,671",1.60\%
166,173,5,"Surry County, NC","3.545 (3.310,~3.852)","0.988 (0.677,~1.084)","1,276 (1.8)",954,"71,948",1.05\%
167,232,5,"Somerset County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",107 (0.1),134,"73,952",2.24\%
168,316,5,"Putnam County, FL","3.837 (3.667,~4.022)","1.178 (1.117,~1.243)","2,113 (2.8)","1,508","74,163",1.72\%
169,195,5,"Erie County, OH","3.414 (3.217,~3.614)","1.034 (0.967,~1.099)","2,905 (3.9)",575,"74,615",4.70\%
170,258,5,"Coryell County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)",581 (0.8),668,"74,808",0.75\%
171,128,5,"Lauderdale County, MS","1.238 (1.061,~1.701)","0.959 (0.889,~1.027)","11,655 (15.5)","1,412","75,317",6.52\%
172,17,5,"Van Buren County, MI","2.910 (2.712,~3.092)","0.723 (0.164,~0.919)",984 (1.3),445,"75,448",2.02\%
173,204,5,"Scioto County, OH","3.414 (3.217,~3.614)","1.034 (0.967,~1.099)",107 (0.1),226,"75,502",0.44\%
174,339,5,"Cole County, MO","1.094 (0.981,~1.281)","1.352 (1.255,~1.448)",516 (0.7),410,"76,796",0.73\%
175,71,5,"Vermilion County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)",199 (0.3),234,"76,806",0.85\%
176,3,5,"Yuba County, CA","1.049 (0.823,~1.310)","0.666 (0.119,~1.046)","6,601 (8.5)",600,"78,041",0.67\%
177,331,5,"Oconee County, SC","3.662 (3.492,~3.832)","1.256 (1.202,~1.309)","1,654 (2.1)",827,"78,374",1.09\%
178,111,5,"Bedford County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)","1,079 (1.4)",359,"78,747",1.95\%
179,180,5,"Bullitt County, KY","1.335 (1.113,~1.825)","1.029 (0.941,~1.108)",642 (0.8),374,"81,069",1.34\%
180,124,5,"Rockingham County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)","2,929 (3.6)",938,"81,244",2.03\%
181,175,5,"Wilson County, NC","3.545 (3.310,~3.852)","0.988 (0.677,~1.084)","4,469 (5.5)","1,490","81,455",2.35\%
182,14,5,"Midland County, MI","2.910 (2.712,~3.092)","0.723 (0.164,~0.919)","1,094 (1.3)",335,"83,209",2.99\%
183,270,5,"Orange County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","2,326 (2.8)","1,477","83,572",1.35\%
184,224,5,"Indiana County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",215 (0.3),320,"84,501",1.88\%
185,220,5,"Crawford County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",35 (0.0),144,"85,063",0.69\%
186,313,5,"Nassau County, FL","3.837 (3.667,~4.022)","1.178 (1.117,~1.243)",894 (1.0),"1,233","85,832",0.89\%
187,201,5,"Muskingum County, OH","3.414 (3.217,~3.614)","1.034 (0.967,~1.099)",107 (0.1),236,"86,183",0.42\%
188,226,5,"Lawrence County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",575 (0.7),391,"86,184",4.09\%
189,268,5,"Liberty County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","3,955 (4.6)",978,"86,323",3.48\%
190,252,5,"Bastrop County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","2,443 (2.8)","1,363","86,976",1.54\%
191,251,5,"Angelina County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","5,235 (6.0)","1,796","87,092",2.51\%
192,11,5,"Lapeer County, MI","2.910 (2.712,~3.092)","0.723 (0.164,~0.919)","3,610 (4.1)",466,"88,028",7.08\%
193,337,5,"Buchanan County, MO","1.094 (0.981,~1.281)","1.352 (1.255,~1.448)","1,720 (1.9)","1,084","88,571",0.92\%
194,100,5,"St. Croix County, WI","3.507 (3.272,~3.737)","0.934 (0.881,~0.991)",558 (0.6),493,"89,694",1.01\%
195,230,5,"Northumberland County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",467 (0.5),466,"91,083",2.79\%
196,24,5,"Dougherty County, GA","3.219 (3.009,~3.478)","0.791 (0.738,~0.837)","19,563 (21.4)","2,694","91,243",6.31\%
197,275,5,"Victoria County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","4,886 (5.3)","3,448","92,035",1.22\%
198,207,5,"Cape May County, NJ","1.443 (1.212,~1.991)","1.036 (0.960,~1.106)","7,976 (8.6)",832,"92,560",10.46\%
199,9,5,"Grand Traverse County, MI","2.910 (2.712,~3.092)","0.723 (0.164,~0.919)",547 (0.6),209,"92,573",2.39\%
200,85,5,"Pottawattamie County, IA","0.988 (0.867,~1.235)","0.924 (0.863,~0.985)","1,537 (1.6)","1,325","93,533",1.96\%
201,165,5,"Nash County, NC","3.545 (3.310,~3.852)","0.988 (0.677,~1.084)","1,532 (1.6)","1,180","94,016",1.02\%
202,253,5,"Bowie County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","3,722 (3.9)",764,"94,324",4.19\%
203,285,5,"Maury County, TN","0.967 (0.885,~1.059)","1.101 (1.008,~1.205)",689 (0.7),"1,257","94,340",0.56\%
204,246,5,"Sherburne County, MN","1.207 (1.037,~1.645)","1.081 (1.011,~1.150)","1,254 (1.3)",723,"96,036",1.11\%
205,78,5,"Dubuque County, IA","0.988 (0.867,~1.235)","0.924 (0.863,~0.985)","1,832 (1.9)","1,676","96,854",1.85\%
206,284,5,"Madison County, TN","0.967 (0.885,~1.059)","1.101 (1.008,~1.205)","1,674 (1.7)","1,102","97,605",1.54\%
207,287,5,"Sevier County, TN","0.967 (0.885,~1.059)","1.101 (1.008,~1.205)",689 (0.7),"1,886","97,892",0.37\%
208,90,5,"Lafourche Parish, LA","3.281 (3.078,~3.485)","0.925 (0.280,~1.095)","13,328 (13.6)","2,800","98,115",3.54\%
209,164,5,"Moore County, NC","3.545 (3.310,~3.852)","0.988 (0.677,~1.084)","2,553 (2.6)","1,009","98,682",1.98\%
210,150,5,"Garland County, AR","0.967 (0.889,~1.052)","0.986 (0.282,~1.177)","1,470 (1.5)","1,008","99,154",1.39\%
211,2,5,"Nevada County, CA","1.049 (0.823,~1.310)","0.666 (0.119,~1.046)","1,650 (1.7)",322,"99,696",0.31\%
212,182,5,"Daviess County, KY","1.335 (1.113,~1.825)","1.029 (0.941,~1.108)","1,156 (1.1)",765,"101,104",1.18\%
213,134,5,"Etowah County, AL","3.505 (3.300,~3.715)","0.970 (0.281,~1.133)","3,188 (3.1)","2,121","102,501",1.46\%
214,28,5,"Woodbury County, IA","0.749 (0.658,~0.837)","0.813 (0.713,~0.905)","6,861 (6.7)","3,719","102,539",1.40\%
215,191,5,"Allen County, OH","3.414 (3.217,~3.614)","1.034 (0.967,~1.099)","4,735 (4.6)",740,"102,663",5.95\%
216,45,5,"Columbiana County, OH","0.894 (0.758,~1.152)","0.879 (0.791,~0.957)","6,928 (6.7)","1,658","102,665",3.62\%
217,212,5,"Adams County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",719 (0.7),518,"102,811",3.86\%
218,160,5,"Craven County, NC","3.545 (3.310,~3.852)","0.988 (0.677,~1.084)","1,532 (1.5)",699,"102,912",1.72\%
219,346,5,"Platte County, MO","1.094 (0.981,~1.281)","1.352 (1.255,~1.448)","1,720 (1.7)",363,"102,985",2.75\%
220,94,5,"Fond du Lac County, WI","3.507 (3.272,~3.737)","0.934 (0.881,~0.991)",782 (0.8),657,"103,066",1.07\%
221,41,5,"Wicomico County, MD","0.961 (0.796,~1.153)","0.857 (0.777,~0.933)","5,256 (5.1)","1,338","103,195",3.36\%
222,340,5,"Franklin County, MO","1.094 (0.981,~1.281)","1.352 (1.255,~1.448)","3,096 (3.0)",618,"103,670",2.91\%
223,5,5,"Bay County, MI","2.910 (2.712,~3.092)","0.723 (0.164,~0.919)","3,391 (3.3)",628,"103,923",4.94\%
224,55,5,"DeKalb County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)","2,987 (2.9)",936,"104,143",3.21\%
225,93,5,"Eau Claire County, WI","3.507 (3.272,~3.737)","0.934 (0.881,~0.991)",447 (0.4),588,"104,534",0.68\%
226,65,5,"Macon County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)","2,290 (2.2)",624,"104,712",3.69\%
227,310,5,"Highlands County, FL","3.837 (3.667,~4.022)","1.178 (1.117,~1.243)","3,007 (2.9)","1,435","105,424",2.58\%
228,210,5,"Madison County, MS","0.855 (0.788,~0.935)","1.050 (0.976,~1.128)","9,567 (9.1)","2,422","105,630",2.73\%
229,333,5,"Sumter County, SC","3.662 (3.492,~3.832)","1.256 (1.202,~1.309)","9,377 (8.8)","2,517","106,512",2.03\%
230,146,5,"Vigo County, IN","3.240 (3.038,~3.460)","0.981 (0.913,~1.050)","1,409 (1.3)",651,"107,386",1.54\%
231,148,5,"Craighead County, AR","0.967 (0.889,~1.052)","0.986 (0.282,~1.177)","1,260 (1.2)","1,344","108,558",0.89\%
232,62,5,"LaSalle County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)","2,389 (2.2)",766,"109,430",3.13\%
233,8,5,"Eaton County, MI","2.910 (2.712,~3.092)","0.723 (0.164,~0.919)",875 (0.8),462,"109,826",1.73\%
234,143,5,"LaPorte County, IN","3.240 (3.038,~3.460)","0.981 (0.913,~1.050)","4,228 (3.8)",911,"110,007",3.29\%
235,47,5,"Kankakee County, IL","1.402 (1.070,~2.017)","0.897 (0.709,~1.058)","8,028 (7.3)","1,782","110,024",3.82\%
236,228,5,"Mercer County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",323 (0.3),437,"110,683",2.06\%
237,137,5,"Terrebonne Parish, LA","3.278 (3.087,~3.475)","0.971 (0.318,~1.132)","11,724 (10.6)","3,035","111,021",2.80\%
238,227,5,"Lycoming County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",719 (0.6),391,"113,664",5.12\%
239,131,5,"Calhoun County, AL","3.505 (3.300,~3.715)","0.970 (0.281,~1.133)","1,439 (1.3)","1,784","114,277",0.78\%
240,102,5,"Sheboygan County, WI","3.507 (3.272,~3.737)","0.934 (0.881,~0.991)","1,005 (0.9)",746,"115,456",1.21\%
241,20,5,"Henderson County, NC","0.957 (0.793,~1.192)","0.776 (0.303,~0.924)","4,825 (4.1)","1,482","116,748",3.64\%
242,139,5,"Clark County, IN","3.240 (3.038,~3.460)","0.981 (0.913,~1.050)","6,625 (5.6)","1,233","117,360",3.81\%
243,96,5,"La Crosse County, WI","3.507 (3.272,~3.737)","0.934 (0.881,~0.991)",111 (0.1),908,"118,230",0.11\%
244,271,5,"Potter County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","5,119 (4.3)","3,661","119,648",1.20\%
