,index,Cluster,County,R_0,R_{end_date},# (\%) infected as predicted,Measured cases,Population,Fatality rate (measured death/cases)
290,304,5,"Martin County, FL","1.040 (0.925,~1.164)","1.147 (1.024,~1.266)","7,850 (4.9)","3,825","160,912",2.46\%
291,48,5,"Hampshire County, MA","0.910 (0.850,~0.981)","0.905 (0.784,~1.007)","15,696 (9.7)","1,174","161,355",10.99\%
292,259,5,"Ector County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","6,515 (4.0)","3,531","162,124",1.59\%
293,29,5,"Portage County, OH","2.763 (2.485,~3.063)","0.815 (0.711,~0.904)","7,705 (4.7)",758,"162,927",8.05\%
294,99,5,"Rock County, WI","3.507 (3.272,~3.737)","0.934 (0.881,~0.991)","2,905 (1.8)","1,432","163,129",1.82\%
295,157,5,"Alamance County, NC","3.545 (3.310,~3.852)","0.988 (0.677,~1.084)","5,235 (3.1)","2,448","166,436",1.67\%
296,162,5,"Davidson County, NC","3.545 (3.310,~3.852)","0.988 (0.677,~1.084)","2,298 (1.4)","1,781","166,614",1.01\%
297,321,5,"Aiken County, SC","3.662 (3.492,~3.832)","1.256 (1.202,~1.309)","6,987 (4.1)","1,868","169,401",2.03\%
298,289,5,"Monroe County, PA","3.401 (3.176,~3.696)","1.104 (1.020,~1.185)","15,437 (9.1)","1,634","169,507",7.59\%
299,265,5,"Johnson County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","3,490 (2.0)","1,861","171,361",1.61\%
300,21,5,"Muskegon County, MI","0.968 (0.859,~1.086)","0.778 (0.165,~0.984)","7,045 (4.1)","1,178","173,588",5.01\%
301,200,5,"Licking County, OH","3.414 (3.217,~3.614)","1.034 (0.967,~1.099)","5,273 (3.0)","1,281","175,769",3.83\%
302,291,5,"Kent County, DE","1.068 (0.975,~1.200)","1.112 (1.035,~1.181)","15,450 (8.7)","2,287","178,550",4.72\%
303,211,5,"Ulster County, NY","1.298 (1.054,~1.813)","1.057 (0.919,~1.187)","9,416 (5.3)","2,062","178,599",4.46\%
304,317,5,"Santa Rosa County, FL","3.837 (3.667,~4.022)","1.178 (1.117,~1.243)","3,007 (1.7)","3,939","179,349",0.94\%
305,168,5,"Pitt County, NC","3.545 (3.310,~3.852)","0.988 (0.677,~1.084)","1,404 (0.8)","2,020","179,914",0.54\%
306,336,5,"Boone County, MO","1.094 (0.981,~1.281)","1.352 (1.255,~1.448)",516 (0.3),"1,375","180,005",0.22\%
307,67,5,"Peoria County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)","3,485 (1.9)","1,607","180,621",2.18\%
308,25,5,"Litchfield County, CT","3.156 (2.758,~3.728)","0.791 (0.640,~0.894)","14,520 (8.0)","1,610","181,111",8.57\%
309,293,5,"DeSoto County, MS","3.292 (3.130,~3.450)","1.129 (1.072,~1.183)","5,592 (3.1)","3,658","182,001",0.85\%
310,104,5,"Charlotte County, FL","0.827 (0.760,~0.891)","0.938 (0.849,~1.024)","4,929 (2.7)","2,238","184,998",4.07\%
311,306,5,"Bay County, FL","3.837 (3.667,~4.022)","1.178 (1.117,~1.243)","4,145 (2.2)","4,440","185,287",1.15\%
312,138,5,"Sumner County, TN","3.286 (3.076,~3.485)","0.979 (0.915,~1.037)","9,195 (4.9)","3,433","187,149",2.13\%
313,98,5,"Outagamie County, WI","3.507 (3.272,~3.737)","0.934 (0.881,~0.991)","1,564 (0.8)","1,252","187,365",1.12\%
314,216,5,"Butler County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",539 (0.3),661,"187,888",2.27\%
315,0,5,"Saginaw County, MI","1.104 (0.935,~1.510)","0.649 (0.105,~0.853)","15,188 (8.0)","2,010","190,800",6.52\%
316,309,5,"Hernando County, FL","3.837 (3.667,~4.022)","1.178 (1.117,~1.243)","3,819 (2.0)","2,022","190,865",2.32\%
317,12,5,"Livingston County, MI","2.910 (2.712,~3.092)","0.723 (0.164,~0.919)","3,063 (1.6)",829,"191,224",3.38\%
318,305,5,"Broome County, NY","0.900 (0.824,~1.003)","1.158 (1.047,~1.268)","7,396 (3.9)","1,126","191,659",6.13\%
319,27,5,"Minnehaha County, SD","0.736 (0.654,~0.819)","0.811 (0.725,~0.898)","9,579 (5.0)","4,422","192,876",1.54\%
320,145,5,"Tippecanoe County, IN","3.240 (3.038,~3.460)","0.981 (0.913,~1.050)","1,550 (0.8)","1,211","193,048",0.91\%
321,69,5,"Sangamon County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)","3,285 (1.7)","1,247","195,348",2.65\%
322,166,5,"Onslow County, NC","3.545 (3.310,~3.852)","0.988 (0.677,~1.084)","1,276 (0.6)","1,065","197,683",0.94\%
323,208,5,"Trumbull County, OH","1.413 (1.209,~1.925)","1.041 (0.979,~1.110)","11,390 (5.7)","1,524","198,627",6.96\%
324,322,5,"Anderson County, SC","3.662 (3.492,~3.832)","1.256 (1.202,~1.309)","11,584 (5.8)","2,335","200,482",2.70\%
325,163,5,"Johnston County, NC","3.545 (3.310,~3.852)","0.988 (0.677,~1.084)","5,874 (2.9)","3,304","202,675",1.39\%
326,209,5,"Calcasieu Parish, LA","1.384 (1.194,~1.883)","1.045 (0.357,~1.205)","18,369 (9.0)","6,815","203,112",2.14\%
327,294,5,"Harrison County, MS","3.292 (3.130,~3.450)","1.129 (1.072,~1.183)","6,494 (3.1)","2,520","206,650",1.43\%
328,314,5,"Okaloosa County, FL","3.837 (3.667,~4.022)","1.178 (1.117,~1.243)","3,332 (1.6)","3,502","207,269",1.17\%
329,236,5,"Washington County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",431 (0.2),840,"207,346",1.43\%
330,136,5,"Shelby County, AL","3.505 (3.300,~3.715)","0.970 (0.281,~1.133)","3,599 (1.7)","3,283","215,707",1.07\%
331,129,5,"Baldwin County, AL","3.505 (3.300,~3.715)","0.970 (0.281,~1.133)","2,571 (1.2)","3,544","218,022",0.71\%
332,190,5,"Yolo County, CA","0.865 (0.794,~0.934)","1.030 (0.631,~1.159)","10,547 (4.8)","1,721","220,408",2.50\%
333,264,5,"Hays County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","4,420 (2.0)","5,012","222,631",0.76\%
334,342,5,"Jefferson County, MO","1.094 (0.981,~1.281)","1.352 (1.255,~1.448)","4,128 (1.8)","1,593","224,347",1.51\%
335,46,5,"Montgomery County, AL","0.955 (0.889,~1.022)","0.890 (0.258,~1.037)","23,335 (10.3)","6,835","225,763",2.17\%
336,33,5,"Linn County, IA","1.140 (0.954,~1.567)","0.857 (0.778,~0.931)","11,130 (4.9)","2,375","225,909",3.71\%
337,254,5,"Brazos County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","5,584 (2.5)","4,055","226,758",1.18\%
338,278,5,"Sussex County, DE","1.144 (0.965,~1.572)","1.088 (1.004,~1.163)","18,739 (8.2)","5,839","229,286",3.29\%
339,273,5,"Smith County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)","2,675 (1.2)","2,524","230,221",0.91\%
340,303,5,"Hinds County, MS","0.933 (0.861,~1.007)","1.143 (1.076,~1.211)","21,035 (8.9)","5,613","237,085",2.10\%
341,105,5,"Caddo Parish, LA","3.405 (3.251,~3.580)","0.941 (0.271,~1.098)","36,891 (15.2)","6,668","242,922",4.42\%
342,178,5,"Cumberland County, PA","0.820 (0.721,~0.996)","1.007 (0.892,~1.115)","9,074 (3.6)","1,286","251,423",5.52\%
343,179,5,"Jefferson County, TX","0.981 (0.889,~1.218)","1.020 (0.672,~1.130)","9,083 (3.6)","5,880","255,001",1.43\%
344,22,5,"Madison County, IL","0.902 (0.736,~1.079)","0.781 (0.586,~0.959)","8,174 (3.1)","2,591","264,461",2.93\%
345,26,5,"New London County, CT","1.052 (0.858,~1.303)","0.800 (0.656,~0.926)","12,117 (4.5)","1,433","266,784",7.19\%
346,312,5,"Leon County, FL","3.837 (3.667,~4.022)","1.178 (1.117,~1.243)","1,950 (0.7)","4,965","292,502",0.48\%
