FIPS,County,State,Not_enough_data,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
01069,Houston County,Alabama,True,,,,,,,,,,,,-25.583,,45.61600000000001,,,,,,,,,,,,,,14.034,,,,,,,22.808000000000003,,,,,,,5.26,2.081
01071,Jackson County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01073,Jefferson County,Alabama,False,-0.732,-32.835,19.906,-10.952,5.129,19.627,92.378,37.363,-28.357,64.93,-35.714,-27.35,29.907,114.799,58.975,56.717,12.323,2.858,43.59,-0.934,97.759,-21.977,24.379,31.28,39.048,16.667,9.346,22.422,-14.285,-44.278,10.427,30.477,21.368,31.776,34.978,6.96,22.886,-27.014,29.524,15.813,25.702,9.418,-20.146
01075,Lamar County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01077,Lauderdale County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,-15.223,,,,,,,,,,,,,,,,,,,,,
01079,Lawrence County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01081,Lee County,Alabama,True,,,,,,,,,,-44.447,,,,,,,,,,,,,,,,,,,-13.638,,,,,,,,,,,,,,
01083,Limestone County,Alabama,True,6.347,-9.09,38.974,5.171,9.997,10.808,,52.369,-10.604,35.585,17.237000000000002,14.282,24.319000000000006,,61.89100000000001,18.177,30.501,34.474000000000004,24.28,24.319000000000006,,11.108,3.029,33.89,46.541,19.995,-14.863,,25.391,-13.634,3.389,25.856,21.423,20.265,,38.087,1.514,-13.557,15.513,14.282,8.106,,
01085,Lowndes County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01087,Macon County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01089,Madison County,Alabama,False,0.8059999999999999,-32.871,36.899,-10.033,-0.807,6.072,78.703,69.04899999999999,-25.761,44.18,5.275,0.423,35.072,122.215,90.474,45.339,17.971,20.105,27.467,12.565,67.131,-29.744,-11.541,25.736,31.586,25.418000000000006,-21.629,24.083,21.834,-33.76,-20.858,30.63,43.038,41.56399999999999,57.87300000000001,34.531,-7.097,-35.904,20.583,18.862,33.773,39.358,7.947999999999999
01091,Marengo County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01093,Marion County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01095,Marshall County,Alabama,True,-4.234,-22.366,27.333,-5.211,0.054000000000000006,4.28,58.53,67.21300000000001,-20.641,27.333,12.337,10.226,47.953,,111.51,36.27,12.784,42.169,54.305,38.092,,1.482,19.024,40.064,56.208,,24.003,95.462,48.637,0.054000000000000006,23.696,,,126.804,,107.224,50.066,3.691,54.453,,126.804,,
