FIPS,workplaces,retail_and_recreation,parks,grocery_and_pharmacy,residential,transit_stations
4001,0.42670713789945147,0.41342614211302053,0.7331924026523563,0.20680436705397992,-0.4814238196280943,-0.20688284775129412
04000_2,,,,,,
4005,-0.6781455895423162,-0.6464900074334385,-0.42999286515347285,-0.5861210297194872,0.7162667120809207,-0.685456439268573
4015,0.49273749435331504,0.5720370943486155,0.3864965959720836,0.44878971400763007,-0.552626650952365,0.7518498674476762
4017,0.4149324451874853,0.713860316137488,0.7012149939289831,0.5989081587106316,-0.33998970929353967,0.362833507706496
4025,-0.24598089702991627,-0.4456887768763082,-0.28517304746129857,-0.20561563433070704,0.4292325025954707,-0.058397503230405684
4027,-0.35731821566233185,0.1534558070902373,-0.383042559929402,-0.553201479285804,-0.278379286355899,0.42555041237593755
6025,0.12692381052072274,0.3789255196562775,-0.1870608087810601,-0.13507057790621274,-0.546010448154162,0.40151559596253045
08000_2,,,,,,
35000_2,,,,,,
35031,0.05535450719090641,0.03341157415205297,0.18547095628343632,-0.1291384944218057,-0.20223559388658224,0.23288242800345604
35045,-0.242024441158684,-0.12284008769171133,-0.13430132278181403,0.07377907798789851,0.31282961184552294,-0.4395682220297001
48479,0.06656980273017696,0.3147862254219524,0.11693082999336805,0.12881113124231858,-0.2055219437843336,0.44825857606734243
53000_2,,,,,,
53077,-0.3272139877819205,-0.11172964286257275,0.41053393044947056,0.09712238982641845,0.004715206847328939,0.1344900957902265
