,FIPS,STATE,AREA_NAME,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,stay at home rollback,>50 gatherings rollback,>500 gatherings rollback,restaurant dine-in rollback,entertainment/gym rollback
48,12103,FL,pinellas county,737510,737501,737501,737500,737504,737504,737500,737495,737594,740000,740000,737594,737594
49,12105,FL,polk county,737518,737501,737501,737500,737504,737504,737500,737495,737594,740000,740000,737594,737594
50,12115,FL,sarasota county,737518,737501,737501,737500,737504,737504,737500,737495,737594,740000,740000,737594,737594
51,13000_0,GA,"Georgia Super-county, Cluster 1",737518,737501,737501,737502,737504,737504,737500,737495,737545,740000,740000,737542,737539
52,13000_1,GA,"Georgia Super-county, Cluster 2",737518,737501,737501,737502,737504,737504,737500,737495,737545,740000,740000,737542,737539
53,13000_3,GA,"Georgia Super-county, Cluster 4",737518,737501,737501,737502,737504,737504,737500,737495,737545,740000,740000,737542,737539
54,13067,GA,cobb county,737518,737501,737501,737502,737504,737504,737500,737495,737545,740000,740000,737542,737539
55,13089,GA,dekalb county,737518,737501,737501,737502,737504,737504,737500,737495,737545,740000,740000,737542,737539
56,13095,GA,dougherty county,737505,737501,737501,737502,737504,737504,737500,737495,737545,740000,740000,737542,737539
57,13121,GA,fulton county,737508,737501,737501,737502,737504,737504,737500,737495,737545,740000,740000,737542,737539
58,13135,GA,gwinnett county,737518,737501,737501,737502,737504,737504,737500,737495,737545,740000,740000,737542,737539
59,17000_4,IL,"Illinois Super-county, Cluster 5",737505,737502,737502,737501,737502,737502,737500,737495,737575,737588,737588,737553,737553
60,17000_0,IL,"Illinois Super-county, Cluster 1",737505,737502,737502,737501,737502,737502,737500,737495,737575,737588,737588,737553,737553
61,17000_1,IL,"Illinois Super-county, Cluster 2",737505,737502,737502,737501,737502,737502,737500,737495,737575,737588,737588,737553,737553
62,17031,IL,cook county,737505,737502,737502,737501,737502,737502,737500,737495,737575,737588,737588,737553,737553
63,17043,IL,dupage county,737505,737502,737502,737501,737502,737502,737500,737495,737575,737588,737588,737553,737553
64,17089,IL,kane county,737505,737502,737502,737501,737502,737502,737500,737495,737575,737588,737588,737553,737553
65,17097,IL,lake county,737505,737502,737502,737501,737502,737502,737500,737495,737575,737588,737588,737553,737553
66,17111,IL,mchenry county,737505,737502,737502,737501,737502,737502,737500,737495,737575,737588,737588,737553,737553
67,17163,IL,st. clair county,737505,737502,737502,737501,737502,737502,737500,737495,737575,737588,737588,737553,737553
68,17197,IL,will county,737505,737502,737502,737501,737502,737502,737500,737495,737575,737588,737588,737553,737553
69,17201,IL,winnebago county,737505,737502,737502,737501,737502,737502,737500,737495,737575,737588,737588,737553,737553
70,18000_0,IN,"Indiana Super-county, Cluster 1",737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,740000,740000
71,18003,IN,allen county,737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,740000,740000
72,18000_4,IN,"Indiana Super-county, Cluster 5",737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,740000,740000
73,18000_1,IN,"Indiana Super-county, Cluster 2",737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,740000,740000
74,18057,IN,hamilton county,737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,740000,740000
75,18063,IN,hendricks county,737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,740000,740000
76,18081,IN,johnson county,737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,740000,740000
77,18089,IN,lake county,737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,740000,740000
78,18097,IN,marion county,737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,740000,740000
79,19000_4,IA,"Iowa Super-county, Cluster 5",740000,737517,737517,737517,737501,737501,737500,737495,740000,740000,740000,737560,737560
80,19153,IA,polk county,740000,737517,737517,737517,737501,737501,737500,737495,740000,740000,740000,737560,737560
81,20000_1,KS,"Kansas Super-county, Cluster 2",737508,737501,737501,737502,737508,737508,737500,737495,737560,737560,737560,737546,737546
82,21000_0,KY,"Kentucky Super-county, Cluster 1",737510,737510,737510,737500,737500,737502,737500,737495,737576,740000,740000,737546,737546
83,21111,KY,jefferson county,737510,737510,737510,737500,737500,737502,737500,737495,737576,740000,740000,737546,737546
84,22000_0,LA,"Louisiana Super-county, Cluster 1",737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
85,22000_1,LA,"Louisiana Super-county, Cluster 2",737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
86,22000_4,LA,"Louisiana Super-county, Cluster 5",737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
87,22017,LA,caddo parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
88,22033,LA,east baton rouge parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
89,22051,LA,jefferson parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
90,22071,LA,orleans parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
91,22103,LA,st. tammany parish,737507,737501,737501,737500,737501,737501,737500,737495,737560,737586,737586,737560,737560
92,24000_4,MD,"Maryland Super-county, Cluster 5",737514,737500,737497,737500,737500,737500,737500,737495,737577,740000,740000,737552,737552
93,24003,MD,anne arundel county,737514,737500,737497,737500,737500,737500,737500,737495,737577,740000,740000,737574,737580
94,24005,MD,baltimore county,737514,737500,737497,737500,737500,737500,737500,737495,737577,740000,740000,737574,737595
95,24000_1,MD,"Maryland Super-county, Cluster 2",737514,737500,737497,737500,737500,737500,737500,737495,737577,740000,740000,737552,737552
96,24013,MD,carroll county,737514,737500,737497,737500,737500,737500,737500,737495,737577,740000,740000,737552,737552
97,24021,MD,frederick county,737514,737500,737497,737500,737500,737500,737500,737495,737577,740000,740000,737574,737595
98,24031,MD,montgomery county,737514,737500,737497,737500,737500,737500,737500,737495,737577,740000,740000,737577,737595
99,24033,MD,prince george's county,737514,737500,737497,737500,737500,737500,737500,737495,737577,740000,740000,737577,737605
100,25001,MA,barnstable county,737508,737501,737501,737501,737501,737501,737500,737495,737563,740000,740000,737598,740000
101,25000_4,MA,"Massachusetts Super-county, Cluster 5",737508,737501,737501,737501,737501,737501,737500,737495,737563,740000,740000,737598,740000
102,25005,MA,bristol county,737508,737501,737501,737501,737501,737501,737500,737495,737563,740000,740000,737598,740000
103,25009,MA,essex county,737508,737501,737501,737501,737501,737501,737500,737495,737563,740000,740000,737598,740000
104,25013,MA,hampden county,737508,737501,737501,737501,737501,737501,737500,737495,737563,740000,740000,737598,740000
105,25015,MA,hampshire county,737508,737501,737501,737501,737501,737501,737500,737495,737563,740000,740000,737598,740000
106,25017,MA,middlesex county,737508,737501,737501,737501,737501,737501,737500,737495,737563,740000,740000,737598,740000
107,25021,MA,norfolk county,737508,737501,737501,737501,737501,737501,737500,737495,737563,740000,740000,737598,740000
108,25023,MA,plymouth county,737508,737501,737501,737501,737501,737501,737500,737495,737563,740000,740000,737598,740000
109,25025,MA,suffolk county,737508,737501,737501,737501,737501,737501,737500,737495,737563,740000,740000,737598,740000
110,25027,MA,worcester county,737508,737501,737501,737501,737501,737501,737500,737495,737563,740000,740000,737598,740000
111,26000_0,MI,"Michigan Super-county, Cluster 1",737508,737508,737508,737500,737500,737500,737500,737495,737542,740000,740000,737542,737542
112,26000_4,MI,"Michigan Super-county, Cluster 5",737508,737508,737508,737500,737500,737500,737500,737495,737542,740000,740000,737542,737542
113,26049,MI,genesee county,737508,737508,737508,737500,737500,737500,737500,737495,737542,740000,740000,737542,737542
114,26000_1,MI,"Michigan Super-county, Cluster 2",737508,737508,737508,737500,737500,737500,737500,737495,737542,740000,740000,737542,737542
115,26081,MI,kent county,737508,737508,737508,737500,737500,737500,737500,737495,737542,740000,740000,737542,737542
116,26099,MI,macomb county,737508,737508,737508,737500,737500,737500,737500,737495,737542,740000,740000,737542,737542
117,26125,MI,oakland county,737508,737508,737508,737500,737500,737500,737500,737495,737542,740000,740000,737542,737542
118,26145,MI,saginaw county,737508,737508,737508,737500,737500,737500,737500,737495,737542,740000,740000,737542,737542
119,26161,MI,washtenaw county,737508,737508,737508,737500,737500,737500,737500,737495,737542,740000,740000,737542,737542
120,26163,MI,wayne county,737508,737508,737508,737500,737500,737500,737500,737495,737542,740000,740000,737542,737542
121,27003,MN,anoka county,737511,737511,737511,737502,737501,737501,737500,737495,737560,737549,737549,737586,737586
122,27000_4,MN,"Minnesota Super-county, Cluster 5",737511,737511,737511,737502,737501,737501,737500,737495,737560,737549,737549,737586,737586
123,27000_1,MN,"Minnesota Super-county, Cluster 2",737511,737511,737511,737502,737501,737501,737500,737495,737560,737549,737549,737586,737586
124,27053,MN,hennepin county,737511,737511,737511,737502,737501,737501,737500,737495,737560,737549,737549,737586,737586
125,27123,MN,ramsey county,737511,737511,737511,737502,737501,737501,737500,737495,737560,737549,737549,737586,737586
126,28000_0,MS,"Mississippi Super-county, Cluster 1",737521,737509,737509,737504,737509,737509,737500,737495,737541,737577,737577,737546,737546
127,28000_4,MS,"Mississippi Super-county, Cluster 5",737521,737509,737509,737504,737509,737509,737500,737495,737541,737577,737577,737546,737546
128,29189,MO,st. louis county,737507,737505,737505,737503,737505,737521,737500,737495,737549,737605,737605,737591,737591
129,31000_0,NE,"Nebraska Super-county, Cluster 1",740000,737503,737503,737503,737519,737519,737500,737495,740000,740000,740000,737556,737556
130,31000_1,NE,"Nebraska Super-county, Cluster 2",740000,737503,737503,737503,737519,737519,737500,737495,740000,740000,740000,737556,737556
131,32003,NV,clark county,737516,737508,737508,737500,737504,737504,737500,737495,737585,740000,740000,737547,737547
132,33011,NH,hillsborough county,737511,737508,737508,737500,737500,737511,737500,737495,737591,740000,740000,737560,737560
133,33000_1,NH,"New Hampshire Super-county, Cluster 2",737511,737508,737508,737500,737500,737511,737500,737495,737591,740000,740000,737560,737560
134,34001,NJ,atlantic county,737505,737500,737500,737502,737500,737500,737500,737495,737584,740000,740000,737591,737608
135,34003,NJ,bergen county,737505,737500,737500,737502,737500,737500,737500,737495,737584,740000,740000,737591,737608
136,34005,NJ,burlington county,737505,737500,737500,737502,737500,737500,737500,737495,737584,740000,740000,737591,737608
137,34007,NJ,camden county,737505,737500,737500,737502,737500,737500,737500,737495,737584,740000,740000,737591,737608
138,34000_4,NJ,"New Jersey Super-county, Cluster 5",737505,737500,737500,737502,737500,737500,737500,737495,737584,740000,740000,737591,737608
139,34011,NJ,cumberland county,737505,737500,737500,737502,737500,737500,737500,737495,737584,740000,740000,737591,737608
140,34013,NJ,essex county,737505,737500,737500,737502,737500,737500,737500,737495,737584,740000,740000,737591,737608
141,34015,NJ,gloucester county,737505,737500,737500,737502,737500,737500,737500,737495,737584,740000,740000,737591,737608
142,34017,NJ,hudson county,737505,737500,737500,737502,737500,737500,737500,737495,737584,740000,740000,737591,737608
143,34019,NJ,hunterdon county,737505,737500,737500,737502,737500,737500,737500,737495,737584,740000,740000,737591,737608
144,34021,NJ,mercer county,737505,737500,737500,737502,737500,737500,737500,737495,737584,740000,740000,737591,737608
