FIPS,Rural-urban_Continuum Code_2013,Density per square mile of land area - Population
29101,4,63.4
29103,9,8.2
29105,6,46.5
29107,1,53.1
29109,6,63.2
29111,9,20.2
29113,1,83.9
29115,7,20.7
29117,6,28.5
29119,2,42.8
29121,7,19.4
29123,6,24.7
29125,8,17.4
29127,5,65.9
29129,9,8.3
29131,6,41.8
29133,6,34.9
29135,3,37.6
29137,9,13.6
29139,6,22.8
29141,8,34.4
29143,7,28.1
29145,3,93
29147,6,26.6
29149,9,13.8
29151,3,23
29153,9,13.1
29155,7,37.1
29157,6,40
29159,4,61.9
29161,5,67.2
29163,6,27.6
29165,1,212.6
29167,2,49
29169,5,95.5
29171,9,9.6
29173,9,21.6
29175,6,52.7
29177,1,41.3
29179,9,8.3
29181,9,22.4
29183,1,643.2
29185,8,14.6
29186,6,36.4
29187,4,144.6
29189,1,1967.2
29195,6,30.9
29197,9,14.4
29199,9,11.1
29201,4,93.3
29203,9,8.4
29205,9,12.7
29207,6,36.4
29209,6,69.4
29211,9,10.4
29213,4,81.7
29215,9,22.1
29217,7,25.6
29219,1,75.9
29221,6,33.2
29223,9,17.8
29225,2,61.1
29227,9,8.1
29229,6,27.6
29510,1,5157.5
30000,NA,6.8
30001,7,1.7
30003,6,2.6
30005,9,1.5
30007,9,4.7
30009,3,4.9
30011,9,0.3
30013,3,30.1
30015,8,1.5
30017,7,3.1
30019,9,1.2
30021,7,3.8
30023,7,12.6
30025,9,1.8
30027,7,2.7
30029,5,17.9
30031,5,34.4
30033,9,0.3
30035,7,4.5
30037,3,0.8
30039,8,1.8
30041,7,5.6
30043,9,6.9
30045,8,1.1
30047,6,19.3
30049,5,18.3
30051,9,1.6
30053,7,5.4
30055,9,0.7
30057,9,2.1
30059,9,0.8
30061,8,3.5
30063,3,42.1
30065,8,2.4
30067,7,5.6
30069,9,0.3
30071,9,0.8
30073,7,3.8
30075,9,0.5
30077,6,3
30079,9,0.7
30081,6,16.8
30083,7,4.7
30085,7,4.4
30087,9,1.8
30089,8,4.1
30091,9,2
30093,5,47.6
30095,8,5.1
30097,9,2
30099,8,2.7
30101,7,2.8
30103,8,0.7
30105,7,1.5
30107,9,1.5
30109,9,1.1
30111,3,56.2
31000,NA,23.8
31001,4,55.7
31003,9,7.8
31005,9,0.6
31007,9,0.9
31009,9,0.7
31011,9,8
31013,7,10.5
31015,9,3.9
31017,9,2.6
31019,4,47.6
31021,8,14
31023,6,14.4
31025,2,45.3
31027,9,12
31029,9,4.4
31031,7,1
31033,7,8.4
31035,8,11.4
31037,7,25.5
31039,7,16
31041,7,4.2
31043,3,79.5
31045,7,6.6
31047,7,24
31049,9,4.4
31051,3,12.6
31053,4,69.4
31055,2,1574.4
31057,9,2.2
31059,8,10.2
31061,9,5.6
31063,9,2.8
31065,9,6.9
31067,6,26.2
31069,9,1.2
31071,9,3.6
31073,9,4.5
31075,9,0.8
31077,8,4.5
31079,3,107.3
31081,3,16.8
31083,9,6.2
31085,9,1.4
31087,9,4.1
31089,7,4.3
31091,9,1
31093,3,11
31095,7,13.2
31097,8,13.9
31099,7,12.6
31101,7,7.9
31103,9,1.1
31105,8,4
31107,9,7.9
31109,2,340.8
31111,5,14.2
31113,9,1.3
31115,9,1.1
31117,9,0.6
31119,5,60.9
31121,3,16.2
31123,9,3.5
31125,8,8.5
31127,7,17.8
31129,9,7.8
31131,6,25.6
31133,9,6.4
31135,9,3.4
31137,7,17
31139,9,12.7
31141,5,47.8
31143,9,12.3
31145,7,15.4
31147,7,15.2
31149,9,1.5
31151,6,24.7
31153,2,664.6
31155,2,27.7
31157,5,50
31159,2,29.3
31161,9,2.2
31163,8,5.6
31165,9,0.6
31167,9,14.3
31169,9,9.1
31171,9,0.9
31173,8,17.6
31175,9,7.5
31177,2,51.9
31179,6,21.7
31181,9,6.6
31183,9,1.4
31185,6,23.9
32000,NA,24.6
32001,6,5
32003,1,247.3
32005,4,66.2
32007,5,2.8
32009,9,0.2
32011,9,0.5
32013,7,1.7
32015,7,1.1
32017,8,0.5
32019,4,26
32021,7,1.3
32023,4,2.4
32027,9,1.1
32029,2,15.3
32031,2,66.9
32033,7,1.1
32510,3,382.1
33000,NA,147
33001,4,150.1
33003,6,51.4
33005,4,109.1
33007,7,18.4
33009,5,52.2
33011,2,457.4
33013,4,156.8
33015,1,425
33017,1,333.7
33019,7,81.4
34000,NA,1195.5
34001,2,494.1
34003,1,3884.5
34005,1,561.9
34007,1,2321.5
34009,3,386.9
34011,3,324.4
34013,1,6211.5
34015,1,895.3
34017,1,13731.4
34019,1,300
34021,2,1632.2
34023,1,2621.6
34025,1,1344.7
34027,1,1069.8
34029,1,917
34031,1,2715.3
34033,1,199.1
34035,1,1071.7
34037,1,287.6
34039,1,5216.1
34041,2,304.5
35000,NA,17
35001,2,570.8
35003,9,0.5
35005,5,10.8
35006,6,6
35007,7,3.7
35009,5,34.4
35011,9,0.9
35013,3,55
35015,5,12.9
35017,7,7.4
35019,7,1.5
35021,9,0.3
35023,9,1.4
35025,5,14.7
35027,7,4.2
35028,6,164.4
35029,6,8.5
35031,5,13.1
35033,9,2.5
35035,4,9.6
35037,7,3.1
35039,4,6.9
35041,7,8.1
35043,2,35.5
35045,3,23.6
35047,6,6.2
35049,3,75.5
35051,6,2.9
35053,6,2.7
35055,7,15
35057,2,4.9
35059,9,1.2
35061,2,71.8
36000,NA,411.2
36001,2,581.9
36003,7,47.6
36005,1,32903.3
36007,2,284.2
36009,4,61.4
36011,4,115.7
36013,4,127.2
36015,3,218.1
36017,6,56.5
36019,5,79.1
36021,6,99.4
36023,4,98.9
36025,6,33.3
36027,1,373.9
36029,1,881.4
36031,6,21.9
36033,7,31.7
36035,4,112.1
36037,4,121.9
36039,6,76.1
36041,8,2.8
36043,2,45.7
36045,3,91.6
36047,1,35369.2
36049,6,21.3
36051,1,103.5
36053,2,112.2
36055,1,1132.6
36057,4,124.6
36059,1,4704.8
36061,1,69468.4
36063,1,414.4
36065,2,193.7
36067,2,600
36069,1,167.6
36071,1,459.3
36073,1,109.6
36075,2,128.3
36077,7,62.2
36079,1,432.9
36081,1,20553.6
36083,2,244.4
36085,1,8030.3
36087,1,1795.9
36089,4,41.8
36091,2,271.1
36093,2,756.6
36095,2,52.7
36097,6,55.9
36099,6,108.9
36101,4,71.2
36103,1,1637.4
36105,4,80.1
36107,2,98.6
36109,3,214
36111,3,162.3
36113,3,75.8
36115,3,76.1
36117,1,155.3
36119,1,2204.7
36121,6,71.1
36123,1,75
37000,NA,196.1
37001,3,356.5
37003,2,143.1
37005,9,47.5
37007,6,50.7
37009,7,64
37011,8,72
37013,6,57.7
37015,7,30.4
37017,6,40.2
37019,2,126.8
37021,2,362.9
37023,2,179.3
37025,1,492.1
37027,2,176.1
37029,8,41.5
37031,4,131.3
37033,8,55.8
37035,2,387.1
37037,2,93.1
37039,9,60.3
37041,6,85.8
37043,9,49.3
37045,4,211.3
37047,6,62
37049,3,146
37051,2,489.7
37053,1,89.9
37055,4,88.5
37057,2,294.7
37059,2,156.1
37061,6,71.7
37063,2,935.7
37065,3,111.9
37067,2,859.2
37069,1,123.3
37071,1,578.8
37073,1,35.8
37075,9,30.3
37077,4,112.7
37079,8,80.3
37081,2,756.4
37083,4,75.5
37085,4,192.7
37087,2,106.6
37089,2,286.1
37091,6,69.9
37093,2,120.2
37095,9,9.5
37097,1,277.8
37099,6,82.1
37101,1,213.4
37103,3,21.6
37105,4,227
37107,4,148.5
37109,1,262.7
37111,6,102.1
37113,7,65.8
37115,2,46.2
37117,6,53.1
37119,1,1755.5
37121,7,70.4
37123,6,56.5
37125,4,126.5
37127,3,177.3
37129,2,1058.1
37131,9,41.2
37133,3,233.1
37135,2,336.2
37137,3,39.1
37139,4,179.2
37141,2,60
37143,8,54.4
37145,2,100.6
37147,3,257.9
37149,8,86.3
37151,2,181.1
37153,5,98.4
37155,4,141.3
37157,2,165.6
37159,1,270.7
37161,4,120.2
37163,6,67.1
37165,6,113.4
37167,6,153.3
37169,2,105.6
37171,4,138.4
37173,8,26.5
37175,6,87.4
37177,9,11.3
37179,1,318.7
37181,4,179.2
37183,1,1078.8
37185,8,48.9
37187,7,38
37189,5,163.4
37191,3,221.7
37193,6,91.9
37195,4,220.6
37197,2,114.7
37199,8,57
38000,NA,9.7
38001,9,2.4
38003,6,7.4
38005,9,4.8
38007,9,0.7
38009,9,3.9
38011,9,2.7
38013,9,1.8
38015,3,49.8
38017,3,84.9
38019,9,2.7
38021,9,4.7
38023,9,1.6
38025,9,1.8
38027,9,3.8
38029,8,2.4
38031,9,5.3
38033,9,1.7
38035,3,46.5
38037,8,1.4
38039,9,3.4
38041,9,2.2
38043,8,1.8
38045,9,3.6
38047,9,2
38049,9,2.9
38051,9,2.9
38053,9,2.3
38055,8,4.2
38057,7,8.1
38059,3,14.3
38061,9,4.2
38063,8,3.2
38065,3,2.6
38067,9,6.6
38069,7,4.3
38071,7,9.6
38073,8,6.3
38075,9,2.8
38077,6,11.4
38079,9,15.4
38081,9,4.5
38083,9,1.4
38085,3,3.8
38087,9,0.6
38089,7,18.1
38091,8,2.8
38093,7,9.5
38095,9,2.2
38097,8,9.4
38099,6,8.7
38101,5,30.6
38103,9,3.3
38105,7,10.8
39000,NA,282.3
39001,6,48.9
39003,3,264.2
39005,4,125.6
39007,4,144.6
39009,4,128.6
39011,4,114.5
39013,3,132.3
39015,1,91.5
39017,1,788.2
39019,2,73.1
39021,6,93.5
39023,3,348
39025,1,436.5
39027,6,102.9
39029,4,202.7
39031,6,65.4
39033,4,109
39035,1,2800
39037,6,88.5
39039,4,94.9
39041,1,393.2
39043,4,306.4
39045,1,289.8
39047,6,71.4
39049,1,2186.1
39051,2,105.3
39053,6,66.3
39055,1,233.4
39057,2,390.5
39059,6,76.8
39061,1,1976.7
39063,4,140.7
39065,6,68.1
39067,6,39.4
39069,6,67.8
39071,6,78.8
39073,1,69.7
39075,7,100.3
39077,4,121.3
39079,7,79
39081,3,170.7
39083,4,115.9
39085,1,1011.2
39087,2,137.7
39089,1,243.9
39091,6,100
39093,1,613.6
39095,2,1296.2
39097,1,93.2
39099,2,580.2
39101,4,164.7
39103,1,409
39105,6,55.3
39107,7,88.3
39109,2,252.1
39111,8,32.1
39113,2,1159.5
39115,6,36.2
39117,1,85.8
39119,4,129.5
39121,7,36.8
39123,4,162.5
39125,6,47.1
39127,1,88.4
39129,1,111.1
39131,7,65.2
39133,2,331.2
39135,6,99.7
39137,6,71.5
39139,3,251.3
39141,4,113.3
39143,4,149.2
39145,4,130.3
39147,4,103
39149,4,121.2
39151,2,652.9
39153,2,1312.6
39155,2,340.1
39157,4,163.1
39159,1,121.1
39161,6,70.3
39163,8,32.6
39165,1,530
39167,4,97.8
39169,4,206.4
39171,6,89.4
39173,2,203.3
39175,7,55.6
40000,NA,54.7
40001,6,39.6
40003,9,6.5
40005,9,14.5
40007,9,3.1
40009,7,24.5
40011,6,12.9
40013,6,46.9
40015,6,23.2
40017,1,128.9
40019,5,57.8
40021,6,62.7
40023,7,19.7
40025,9,1.3
40027,1,474.7
40029,9,11.5
40031,3,116.1
40033,3,9.8
40035,6,19.7
40037,2,73.6
40039,7,27.8
40041,6,56.2
40043,9,4.8
40045,9,3.4
40047,5,57.2
40049,6,34.4
40051,1,47.6
40053,9,4.5
40055,7,9.8
40057,9,5.4
40059,9,3.5
40061,6,22.1
40063,7,17.4
40065,7,32.9
40067,8,8.5
40069,9,17
40071,5,50.6
40073,6,16.7
40075,6,9.3
40077,7,15.4
40079,2,31.7
40081,1,36
40083,1,56.3
40085,9,18.3
40087,1,60.5
40089,7,17.9
40091,6,32.7
40093,9,7.9
40095,6,42.7
40097,6,63
40099,7,32.4
40101,4,87.6
40103,6,15.8
40105,6,18.6
40107,6,19.7
40109,1,1013.8
40111,2,57.5
40113,2,21.1
40115,6,67.6
40117,2,29.2
40119,4,113
40121,5,35.1
40123,7,52
40125,4,88.2
40127,9,8.3
40129,9,3.2
40131,2,128.6
40133,7,40.3
40135,2,63
40137,4,51.8
40139,7,10.1
40141,6,9.2
40143,2,1058.1
40145,2,130.1
40147,4,122.7
40149,7,11.6
40151,7,6.9
40153,7,16.2
41000,NA,39.9
41001,7,5.3
41003,3,126.6
41005,1,201
41007,4,44.7
41009,1,75.1
41011,5,39.5
41013,6,7
41015,7,13.7
41017,3,52.3
41019,4,21.4
41021,9,1.6
41023,9,1.6
41025,7,0.7
41027,6,42.8
41029,3,73
41031,6,12.2
41033,3,50.4
41035,5,11.2
41037,7,1
41039,2,77.2
41041,5,47
41043,3,50.9
41045,6,3.2
41047,2,266.7
41049,6,5.5
41051,1,1704.9
41053,2,101.8
41055,9,2.1
41057,6,22.9
41059,4,23.6
41061,7,12.6
41063,9,2.2
41065,6,10.6
41067,1,731.4
41069,9,0.8
41071,1,138.6
42000,NA,283.9
42001,3,195.5
42003,1,1675.6
42005,1,105.5
42007,1,392.3
42009,6,49.2
42011,2,480.4
42013,3,241.7
42015,6,54.6
42017,1,1034.7
42019,1,233.1
42021,3,208.7
42023,7,12.8
42025,2,171.1
42027,3,138.7
42029,1,664.7
42031,6,66.6
42033,4,71.3
42035,4,44.2
42037,3,139.3
42039,4,87.7
42041,2,431.6
42043,2,510.6
42045,1,3040.5
42047,7,38.6
42049,2,351.1
42051,1,172.8
42053,9,18.1
42055,3,193.7
42057,8,33.9
42059,6,67.2
42061,6,52.5
42063,4,107.5
42065,7,69.3
42067,6,63
42069,2,467.1
42071,2,550.4
42073,4,254.4
42075,3,369.1
42077,2,1012.5
42079,2,360.4
42081,3,94.5
42083,7,44.4
42085,2,173.4
42087,4,113.6
42089,3,279.2
42091,1,1655.9
42093,3,140.3
42095,2,805.4
42097,4,206.2
42099,2,83.4
42101,1,11379.5
42103,1,105.3
42105,9,16.1
42107,4,190.4
42109,7,120.8
42111,4,72.4
42113,8,14.3
42115,6,52.7
42117,6,37
42119,4,142.2
42121,4,81.5
42123,6,47.3
42125,1,242.5
42127,6,72.8
42129,1,355.4
42131,2,71.2
42133,2,481.1
44000,NA,1018.1
44001,1,2064
44003,1,985.9
44005,1,809.6
44007,1,1530.3
44009,1,385.7
45000,NA,153.9
45001,6,51.8
45003,2,149.5
45005,6,25.5
45007,2,261.6
45009,7,40.6
45011,6,41.2
45013,3,281.5
45015,2,161.8
45017,2,39.8
45019,2,382.3
45021,4,140.9
45023,1,57.1
45025,6,58.5
45027,6,57.6
45029,6,36.8
45031,3,122.4
45033,6,79.2
45035,2,238.2
45037,2,53.9
45039,2,34.9
45041,3,171.1
45043,4,73.9
45045,2,574.7
45047,4,153.2
45049,6,37.7
45051,2,237.5
45053,3,37.8
45055,2,84.9
45057,1,139.6
45059,2,93.2
45061,6,46.9
45063,2,375.4
45065,8,28.5
45067,6,67.6
45069,6,60.3
45071,6,59.5
45073,4,118.6
45075,4,83.6
45077,2,240.2
45079,2,507.9
45081,2,43.9
45083,2,351.9
45085,3,161.6
45087,2,56.3
45089,6,36.8
45091,1,332.2
46000,NA,10.7
46003,9,3.8
46005,7,13.8
46007,9,2.9
46009,9,12.5
46011,5,40.3
46013,5,21.3
46015,9,6.4
46017,9,4.1
46019,6,4.5
46021,9,2
46023,9,8.3
46025,9,3.9
46027,6,33.6
46029,5,39.5
46031,9,1.6
46033,3,5.3
46035,7,44.8
46037,9,5.6
46039,9,7
46041,9,2.3
46043,9,7
46045,9,3.6
46047,6,4.1
46049,9,2.4
46051,7,10.8
46053,9,4.2
46055,8,1.1
46057,9,11.6
46059,9,2.4
46061,8,7.7
46063,9,0.5
46065,7,23
46067,8,9
46069,9,1.7
46071,8,1.6
46073,9,3.9
46075,9,1
46077,9,6.2
46079,6,19.9
46081,6,30.1
46083,3,77.7
46085,9,2.3
46087,3,9.8
46089,9,2.2
46091,9,5.6
46093,3,7.3
46095,9,1.6
46097,8,4.2
46099,3,210
46101,8,12.5
46102,6,NA
46103,3,36.4
46105,8,1
46107,9,2.7
46109,9,9.2
46111,9,4.1
46115,9,4.3
46117,9,2.1
46119,9,1.4
46121,9,6.9
46123,7,3.5
46125,3,13.5
46127,3,31.3
46129,7,7.7
46135,7,43.1
46137,8,1.4
47000,NA,153.9
47001,2,222.8
47003,4,95.1
47005,7,41.8
47007,8,31.7
47009,2,220.2
47011,3,301
47013,2,84.8
47015,1,52
47017,6,47.6
47019,3,168.3
47021,1,129.3
47023,3,60
47025,6,74.1
47027,9,33.2
47029,6,82.1
47031,4,123.1
47033,3,54.9
47035,4,82.3
47037,1,1243.3
47039,9,35.2
47041,6,61.5
47043,1,101.4
47045,5,74.8
47047,1,54.5
47049,9,36
47051,6,74
47053,4,82.4
47055,6,48.3
47057,2,80.7
47059,4,110.6
47061,8,38
47063,3,388
47065,2,620.3
47067,8,30.7
47069,6,40.8
47071,6,45.1
47073,2,116.7
47075,6,35.2
47077,6,53.4
47079,7,57.5
47081,1,40.3
47083,8,42.1
47085,6,34.9
47087,8,37.7
47089,3,187.6
47091,6,61.1
47093,2,850.5
47095,9,47.2
47097,6,58.9
47099,6,67.8
47101,6,43.1
47103,6,58.5
47105,2,211.8
47107,4,121.5
47109,6,46.3
47111,1,72.4
47113,3,176.4
47115,2,56.7
47117,6,81.5
47119,1,132
47121,8,60.2
47123,6,70
47125,2,319.6
47127,9,49.2
47129,2,42.1
47131,7,58.4
47133,7,50.9
47135,8,19.1
47137,9,31.2
47139,3,38.7
47141,4,180.3
47143,6,100.9
47145,2,150.2
47147,1,139.2
47149,1,424
47151,6,41.8
47153,2,53.1
47155,4,151.7
47157,1,1215.5
47159,1,61
47161,8,29
47163,2,379.4
47165,1,303.4
47167,1,133.3
47169,1,68.9
47171,3,98.4
47173,2,85.5
47175,9,20.3
47177,6,92.1
47179,3,376.7
47181,8,23.2
47183,7,60.3
47185,7,68.6
47187,1,314.4
47189,1,199.7
48000,NA,96.3
48001,7,55
48003,6,9.9
48005,5,108.8
48007,2,91.9
48009,3,10
48011,2,2.1
48013,1,36.8
48015,1,44
48017,7,8.7
48019,1,25.9
48021,1,83.5
48023,8,4.3
48025,6,36.2
48027,2,295.2
48029,1,1383.1
48031,8,14.8
48033,8,0.7
48035,6,18.5
48037,3,104.6
48039,1,230.7
48041,3,332.8
48043,7,1.5
48045,9,1.8
48047,7,7.7
48049,5,40.3
48051,3,26.1
48053,6,43
48055,1,69.8
48057,6,42.2
48059,3,15.1
48061,2,456
48063,6,63.3
48065,2,6.7
48067,6,32.5
48069,6,9
48071,1,58.8
48073,6,48.3
48075,7,10.1
48077,3,9.9
48079,9,4
48081,8,3.6
48083,6,7
48085,1,930
48087,9,3.3
48089,6,21.7
48091,1,193.9
48093,7,14.9
48095,8,4.2
48097,6,43.9
48099,2,71.7
48101,9,1.7
48103,6,5.6
48105,7,1.3
48107,2,6.7
48109,9,0.6
48111,7,4.5
48113,1,2718
48115,7,15.4
48117,6,12.9
48119,8,20.4
48121,1,754.3
48123,6,22.1
48125,8,2.7
48127,6,7.5
48129,8,4
48131,7,6.6
48133,6,20.1
48135,3,152.8
48137,9,0.9
48139,1,159.9
48141,2,790.6
48143,4,35
48145,2,23.3
48147,6,38.1
48149,6,25.8
48151,8,4.4
48153,6,6.5
48155,9,1.9
48157,1,679.5
48159,7,37.3
48161,7,22.6
48163,6,15.2
48165,7,11.7
48167,1,769.9
48169,6,7.2
48171,7,23.5
48173,8,1.4
48175,3,8.5
48177,6,18.6
48179,6,24.3
48181,3,129.6
48183,3,445.4
48185,6,33.8
48187,1,184.9
48189,4,36.1
48191,9,3.8
48193,6,10.2
48195,7,6.1
48197,9,6
48199,2,61.3
48201,1,2402.4
48203,4,72.9
48205,7,4.1
48207,6,6.5
48209,1,231.7
48211,7,4.2
48213,4,89.9
48215,2,493.2
48217,6,36.6
48219,6,25.2
48221,1,121.7
48223,6,45.8
48225,7,19.3
48227,4,38.9
48229,2,0.8
48231,1,102.5
48233,6,25
48235,3,1.5
48237,6,9.9
48239,6,17
48241,6,38
48243,9,1
48245,2,287.9
48247,6,4.7
48249,4,47.2
48251,1,208.3
48253,3,21.8
48255,6,19.8
48257,1,132.4
48259,1,50.4
48261,9,0.3
48263,9,0.9
48265,4,45
48267,7,3.7
48269,9,0.3
48271,7,2.6
48273,4,36.4
48275,9,4.4
48277,5,54.9
48279,6,13.8
48281,2,27.6
48283,6,4.6
48285,6,19.9
48287,6,26.4
48289,8,15.7
48291,1,65.3
48293,6,25.8
48295,9,3.5
48297,8,11.1
48299,7,20.7
48301,9,0.1
48303,2,311.3
48305,2,6.6
48307,7,7.8
48309,2,226.5
48311,9,0.6
48313,6,29.3
48315,8,27.7
48317,3,5.2
48319,9,4.3
48321,4,33.4
48323,5,42.4
48325,1,34.7
48327,9,2.5
48329,3,152
48331,6,24.3
48333,9,6.6
48335,7,10.3
48337,6,21.2
48339,1,437.5
48341,7,24.3
48343,6,51.3
48345,9,1.2
48347,5,68.2
48349,4,47.3
48351,2,15.5
48353,6,16.7
48355,2,405.8
48357,7,11.1
48359,2,1.4
48361,2,245.3
48363,6,29.5
48365,6,29.7
48367,1,129.4
48369,7,11.7
48371,7,3.3
48373,6,43
48375,2,133.3
48377,7,2
48379,8,47.6
48381,2,132.4
48383,6,2.9
48385,9,4.7
48387,6,12.4
48389,7,5.2
48391,6,9.6
48393,9,1
48395,3,19.4
48397,1,616.7
48399,6,10
48401,3,57.7
48403,8,22
48405,9,16.7
48407,8,46.3
48409,2,93.5
48411,7,5.4
48413,8,2.6
48415,7,18.7
48417,8,3.7
48419,7,32
48421,9,3.3
48423,3,227.6
48425,1,45.5
48427,4,49.8
48429,7,10.7
48431,8,1.2
48433,9,1.6
48435,7,2.8
48437,6,8.8
48439,1,2094.7
48441,3,143.6
48443,9,0.4
48445,6,14.2
48447,9,1.8
48449,7,79.6
48451,3,72.4
48453,1,1034.4
48455,7,21
48457,6,23.5
48459,3,67.4
48461,8,2.7
48463,6,17
48465,5,15.5
48467,6,62.4
48469,3,98.4
48471,4,86.5
48473,1,84.1
48475,6,12.8
48477,6,55.8
48479,2,74.5
48481,4,38
48483,9,5.9
48485,3,209.5
48487,6,13.9
48489,6,37.5
48491,1,378
48493,1,53.4
48495,6,8.5
48497,1,65.4
48499,6,65
48501,7,9.9
48503,7,20.3
48505,6,14
48507,7,9
49000,NA,33.6
49001,7,2.6
49003,2,8.7
49005,3,96.7
49007,7,14.5
49009,9,1.5
49011,2,1025.8
49013,7,5.7
49015,7,2.5
49017,9,1
49019,7,2.5
49021,4,14
49023,2,3
49025,6,1.8
49027,7,1.9
49029,2,15.5
49031,9,2.1
49033,8,2.2
49035,1,1387.1
49037,7,1.9
49039,6,17.5
49041,7,10.9
49043,4,19.4
49045,1,8.4
49047,7,7.3
49049,2,257.8
49051,6,20
49053,3,56.9
49055,9,1.1
49057,2,401.4
50000,NA,67.9
50001,6,48
50003,6,55
50005,7,48.1
50007,3,291.7
50009,9,9.5
50011,3,75.3
50013,3,85.2
50015,8,53.3
50017,9,42.1
50019,7,39.3
50021,4,66.3
50023,4,86.6
50025,7,56.7
50027,7,58.5
51000,NA,202.6
51001,8,73.8
51003,3,137.3
51005,6,36.5
51007,1,35.7
51009,2,68.3
51011,2,44.9
51013,1,7993.5
51015,3,76.3
51017,8,8.9
51019,2,91.2
51021,8,19.1
51023,2,61.2
51025,6,30.8
51027,9,47.9
51029,3,29.6
51031,2,108.8
51033,1,54.1
51035,7,63.3
51036,1,39.7
51037,8,26.5
51041,1,747.1
51043,1,79.7
51045,2,15.7
51047,1,123.1
51049,8,33.8
51051,9,48.1
51053,1,55.6
51057,6,43.4
51059,1,2766.8
51061,1,100.7
51063,3,40.2
51065,3,89.8
51067,2,81.3
51069,3,189.4
51071,3,48.6
51073,1,169.2
51075,1,77.2
51077,9,35.1
51079,3,117.8
51081,6,41.5
51083,6,44.3
51085,1,213.1
51087,1,1313.4
51089,4,141.6
51091,8,5.6
51093,1,111.8
51095,1,470.4
51097,8,22
51099,6,131.3
51101,1,58.2
51103,9,85.5
51105,8,58.8
51107,1,605.8
51109,8,66.8
51111,9,29.9
51113,8,41.5
51115,1,104.5
51117,7,52.3
51119,8,84.1
51121,3,243.9
51125,3,31.9
51127,1,87.9
51131,8,58.5
51133,9,64.5
51135,6,50.4
51137,6,98.2
51139,6,77.3
51141,8,38.3
51143,4,65.5
51145,1,107.8
51147,6,66.8
51149,1,134.7
51153,1,1195
51155,3,109
51157,1,27.7
51159,9,48.3
51161,2,368.7
51163,6,37.3
51165,3,89.9
51167,7,61
51169,2,43.3
51171,6,82.5
51173,7,71.4
51175,6,31
51177,1,304.9
51179,1,479.5
51181,8,25.3
51183,1,24.7
51185,5,86.9
51187,1,176
51191,2,97.8
51193,6,76.1
51195,7,102.8
51197,6,63.3
51199,1,624.8
51510,1,9314.3
51520,2,1370.6
51530,6,992
51540,3,4246.3
51550,1,652
51570,1,2315.3
51580,6,1090.1
51590,4,1002.8
51595,6,859.8
51600,1,3616.6
51610,1,6169.8
51620,6,1045.8
51630,1,2326.2
51640,7,854.7
51650,1,2673.2
51660,3,2808.2
51670,1,2197.9
51678,6,2820.3
51680,2,1538.2
51683,1,3827.8
51685,1,5633.1
51690,4,1261.5
51700,1,2630
51710,1,4486.3
51720,7,529.1
51730,1,1413.8
51735,1,793.3
51740,1,2838.9
51750,3,1662.2
51760,1,3414.7
51770,2,2279.8
51775,2,1718
51790,3,1188.8
51800,1,211.4
51810,1,1758.9
51820,3,1396.8
51830,1,1559.3
51840,3,2838.1
53000,NA,101.2
53001,6,9.7
53003,3,34
53005,2,103
53007,3,24.8
53009,5,41.1
53011,1,676.2
53013,3,4.7
53015,3,89.8
53017,3,21.1
53019,9,3.4
53021,2,62.9
53023,8,3.2
53025,5,33.3
53027,4,38.3
53029,4,376.6
53031,6,16.6
53033,1,912.9
53035,2,635.9
53037,4,17.8
53039,6,10.9
53041,4,31.4
53043,8,4.6
53045,4,63.3
53047,6,7.8
53049,7,22.4
53051,2,9.3
53053,1,476.3
53055,9,90.7
53057,3,67.5
53059,1,6.7
53061,1,341.8
53063,2,267.2
53065,2,17.6
53067,2,349.4
53069,8,15.1
53071,3,46.3
53073,3,95.5
53075,4,20.7
53077,3,56.6
54000,NA,77.1
54001,6,48.6
54003,2,324.4
54005,3,49.1
54007,8,28.4
54009,3,269.8
54011,2,342.8
54013,8,27.3
54015,3,27.5
54017,9,25.7
54019,3,69.6
54021,7,25.7
54023,7,25
54025,6,34.8
54027,3,37.4
54029,3,371.3
54031,6,24.1
54033,5,166.1
54035,6,62.9
54037,1,255.2
54039,3,214.1
54041,7,42.5
54043,2,49.7
54045,6,81
54047,7,41.5
54049,4,182.7
54051,3,108.4
54053,6,63.4
54055,4,148.6
54057,3,86.1
54059,7,63.4
54061,3,267.1
54063,8,28.6
54065,8,76.6
54067,6,40.6
54069,3,420
54071,8,11.1
54073,6,58.5
54075,9,9.3
54077,3,51.7
54079,2,160.5
54081,3,130.3
54083,7,28.3
54085,8,23.1
54087,6,30.9
54089,6,38.6
54091,6,97.8
54093,8,17
54095,9,35.9
54097,7,68.4
54099,2,84
54101,9,16.5
54103,6,46.3
54105,3,24.6
54107,3,237.4
54109,6,47.6
55000,NA,105
55001,8,32.3
55003,7,15.5
55005,6,53.2
55007,8,10.2
55009,2,468.2
55011,8,20.2
55013,8,18.8
55015,3,153.9
55017,3,61.9
55019,6,28.7
55021,2,74.2
55023,7,29.2
55025,2,407.7
55027,4,101.4
55029,6,57.6
55031,2,33.9
55033,6,51.6
55035,3,154.8
55037,9,9.1
55039,3,141.2
55041,9,9.2
55043,6,44.7
55045,2,63.1
55047,6,54.5
55049,2,31.1
55051,9,7.8
55053,6,20.7
55055,4,150.4
55057,7,34.8
55059,1,611.9
55061,2,60.1
