SUPERCOUNTY,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,test,fatality_rate
01000_0,0.11848999578616992,0.12904491361648335,0.13342671568271314,0.11968904840092413,0.12543671263131895,0.13369465715406634,0.12158265645660482,0.07915781520175527,0.03947748506996411,1.0,0.00996430263553276
01000_3,0.12267060194269827,0.1293821448325404,0.14297124050702634,0.1250842481090555,0.11989816019725341,0.12824914642608237,0.12066088768627344,0.07391571440483923,0.03716785589423104,1.0,0.009508275202252838
02000_0,0.12447776662240503,0.1214010428474269,0.11812999967613433,0.124315833792143,0.115118049033261,0.14005570489361013,0.1528322052012825,0.07644848916669365,0.02722090876704343,1.0,0.00951542548175017
04000_1,0.11337333016336881,0.12967890571921956,0.16430879402873444,0.11790575898511499,0.10851770033174638,0.11524485014725952,0.12075111237834485,0.08489187572498133,0.045327672521230156,1.0,0.010520969434998946
04000_4,0.1289763545314889,0.13616503401631985,0.14222920705972397,0.1374704590344117,0.12705267768562065,0.12165595362680534,0.10249717513099593,0.06826524930489178,0.035687889609741855,1.0,0.008783525156569385
05000_0,0.12134995849960845,0.13357498909735477,0.14066991479524127,0.12222842253182087,0.11948361320697207,0.12887630069730038,0.11527573923060931,0.07799728957894687,0.04054377236214601,1.0,0.009842567600151933
05000_3,0.1378808648775934,0.14324009520045078,0.1633482469492965,0.13527799036221583,0.11800188382517429,0.1147199071543307,0.09647035077833938,0.059523409050770776,0.03153725180182832,0.9999999999999999,0.00791877609917835
06000_1,0.1458581612864684,0.1452962964097631,0.14848458854273575,0.13627153330290154,0.11536366505010523,0.11539185020204465,0.10098893120065683,0.05971453342850928,0.03263044057681526,1.0,0.008095701098301844
06000_2,0.12058415970889419,0.11913691718685905,0.15447357371014783,0.15102980040264985,0.12755045298715167,0.1256837936217141,0.1041437947992796,0.06062669259895245,0.036770814984351224,0.9999999999999999,0.008611518959531243
06000_3,0.12630298643989427,0.15243475434663878,0.19795006852091984,0.1304477481914833,0.108487547286136,0.10790118244658217,0.09308122995888744,0.05364400617861008,0.02975047663084815,1.0,0.007413537530700387
06000_4,0.12993119819285182,0.13757849799950228,0.1480440300936118,0.1336428967972893,0.12742109998659953,0.12898964335624175,0.10129938549304132,0.05921703007446828,0.033876218006393934,1.0,0.00827474218874744
08000_0,0.1044848820862127,0.11708611369621606,0.1134427657762905,0.11853553254262122,0.11628616121814546,0.14148070411658714,0.15521454171039345,0.09044215195136923,0.04302714690216423,1.0,0.011396630621547235
08000_1,0.13124912770411723,0.13678529890672247,0.13627200124059857,0.14499806156470496,0.12774598743893928,0.12309064123439559,0.11120260525703651,0.05976738776459642,0.028888888888888888,0.9999999999999999,0.008071754267814221
08000_2,0.09624691024846815,0.1400707806107741,0.17889584700593109,0.1270002882745846,0.1279939155662142,0.12615386502615938,0.11245468875545114,0.06006538312918994,0.031118321383227322,1.0,0.008298840214304552
08000_3,0.139987231325814,0.1395403277293041,0.12658012343051714,0.12517556927005746,0.11010853373058098,0.12121728027239839,0.1168120876782294,0.07175994892530325,0.048818897637795275,1.0,0.010188903964673333
09000_3,0.09389611522181004,0.11963251916897544,0.11527883060864431,0.11366212961782798,0.12041403645291779,0.16273001093453365,0.14344028604203424,0.08420597173121172,0.04674010022204482,1.0,0.011321629275369125
10000_3,0.12564547745729487,0.13229347521702606,0.14184822178661438,0.12543825259031083,0.1130551666199944,0.1301484178101372,0.11393447213665639,0.07965275833099972,0.03798375805096611,1.0,0.009688126675441052
12000_0,0.09166915611523466,0.10061457463622135,0.10459386242413565,0.10229335661925225,0.10516324399404575,0.13370764426673612,0.15791785075053683,0.13208758773710402,0.07195272345673338,1.0,0.01540547269330249
12000_1,0.09978688815726561,0.09173371948470649,0.10550402316908239,0.12397371620606276,0.12527151268425296,0.15579705195284216,0.1536386114943785,0.10092758295651699,0.04336689389489215,1.0,0.011941439692763761
12000_2,0.10377617093155922,0.12819496510542458,0.24548074501029798,0.12690216183378034,0.09860125353761354,0.10271673902413726,0.10203514646831335,0.06029501103883596,0.03199780705003778,1.0,0.008009185685815465
12000_3,0.11492582392429694,0.12345209994538217,0.16686328386858465,0.13059451359079138,0.11338410652477957,0.12873392904311443,0.11603396619166337,0.07111158350688616,0.034900693404501394,1.0,0.009126013447353771
12000_4,0.08716881305881388,0.09171417439094415,0.11197092117135592,0.11495467968173242,0.1154396686079895,0.1517748749077188,0.15023890575014354,0.10778238044459026,0.0689555819867115,0.9999999999999999,0.014119548848433269
13000_0,0.12344626013476898,0.13674562310443478,0.13580736670617644,0.12116306634714799,0.12298384113980779,0.1322239635569792,0.11669095169200969,0.07563337467808723,0.035305552640587934,1.0,0.009383530887146026
13000_3,0.1278244854107335,0.15029246747045483,0.15519534780606764,0.11436074967172019,0.10876720271491669,0.11889697982571326,0.117762922287215,0.06994491720527293,0.036954927607906,1.0,0.009188482572178925
15000_1,0.12078441692034425,0.11577266502000515,0.10802777395683194,0.13769160382041423,0.12703415526861914,0.1377035650421334,0.13446207395623389,0.07817854515660229,0.04034520085881572,1.0,0.010271529754137088
15000_2,0.12342869969798384,0.110624642886295,0.1502142682230022,0.14157211656191332,0.11871377846706391,0.12009631866786386,0.11006346420700351,0.07378989470247327,0.05149681658640111,1.0,0.010380465015610971
16000_0,0.15735738343495492,0.15027385109695507,0.1405293420750656,0.1338862044796209,0.10754315558339897,0.11016071306731837,0.10115433044492275,0.06455194487002153,0.03454307494774189,1.0,0.008407463396994152
16000_1,0.12203154792858381,0.14231235916103313,0.10469752123418269,0.11403622811579131,0.12300658693014387,0.13631045241809672,0.13052522100884034,0.08972525567689374,0.03735482752643439,1.0,0.010422595579823193
16000_3,0.11764997030291031,0.11975351415561275,0.13383488418135023,0.12042169867353,0.11324490199960405,0.1272520293011285,0.12987527222332212,0.0840427638091467,0.05392496535339537,1.0,0.0114024521357157
17000_0,0.11203095766059179,0.12550022520961818,0.11854471277111772,0.11989163952602036,0.12180808675767446,0.14061308987596147,0.1284755907421523,0.08176408426304484,0.05137161319381886,1.0,0.011167171265418198
17000_2,0.1111383946647301,0.14821151952268874,0.21933539004887528,0.12508261256860437,0.10535486179864215,0.10744466590562968,0.09800920036258101,0.052707471833359026,0.03271588329488964,1.0,0.007693647737395216
17000_3,0.11968916992261898,0.12912290630475715,0.13711495416272143,0.12197613631828884,0.11501656091623769,0.13140406821718925,0.12353899343005054,0.07465218448098851,0.04748502624714764,1.0,0.01040649640274407
17000_4,0.0914037723251544,0.14351527290936406,0.21879485895509931,0.10605908863294942,0.09434151226840261,0.10819562677349356,0.11684192956100818,0.07200801201802703,0.04883992655650142,1.0,0.01011072763478551
18000_0,0.12269980377208325,0.13307866678713076,0.1209928340772669,0.11632721842613639,0.12307388544472067,0.1385944680578918,0.12501129351046972,0.07777650320431154,0.042445326719988956,0.9999999999999999,0.010221865218830166
18000_2,0.10398717515038312,0.14933301957554454,0.26120335916932624,0.11776212257144117,0.09858367773153118,0.09743061785772064,0.09019457885370552,0.05151118497492389,0.029994264115423643,1.0,0.007215574495021546
18000_3,0.11284645027419594,0.1308984548688306,0.16090021491033052,0.11501176448792055,0.1158176782273603,0.12820744404920706,0.11930302356602934,0.07521861568104343,0.041796353935082256,1.0,0.009889023833046169
