FIPS,County,State,Not_enough_data,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
01049,DeKalb County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.29,,,,,,,-33.336,,,,,,,-28.572,,
01051,Elmore County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01053,Escambia County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01055,Etowah County,Alabama,False,3.635,-5.335,-2.471,-2.411,3.569,6.975,8.331,7.271,-6.667999999999998,-4.94,-1.207,-1.192,-2.327,18.332,14.544,-5.335,-6.175,-7.231,-7.145,-5.816,-1.669,-1.82,-8.002,-12.347,-16.869,-16.668,-10.467,-15.002,-23.638,-29.335,-20.99,-21.688,-22.621,-27.909,-23.335,-27.274,-18.668,-35.805,-27.712,-26.192,-26.746,-36.668,-34.548
01057,Fayette County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01059,Franklin County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01061,Geneva County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01063,Greene County,Alabama,False,19.488,3.432,-0.058,14.509,-1.029,1.812,5.152,25.236,8.084,9.945,0.913,0.913,-4.731,11.404000000000002,19.488,10.41,4.944,-2.971,0.913,7.421,10.361,9.14,4.5939999999999985,-2.0580000000000003,-2.0,-1.029,-14.08,-14.645,-18.453,-20.993,-13.061,-20.451,-20.451,-21.559,-31.315,-32.25,-24.482,-23.063,-24.335,-29.191,-34.646,-43.819,-40.298
01065,Hale County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01067,Henry County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01069,Houston County,Alabama,False,3.393,-9.997,14.496,15.717,20.003,11.691,29.233,20.342,7.146,27.539,7.146,-3.997,16.886,26.157,23.732,8.574,7.25,7.146,-1.33,12.99,4.618,11.868,-1.426,1.452,-1.426,-3.997,-14.283,-19.997,-16.945999999999998,-11.425999999999998,-8.693,-9.997,-13.33,-11.686,-27.69,-27.116,-7.14,-17.389,-9.997,-15.997,-24.672,-44.613,-44.065
01071,Jackson County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01073,Jefferson County,Alabama,False,5.287000000000001,-6.598,6.1179999999999986,3.409,4.0360000000000005,5.948,7.399,7.174,-4.26,1.46,-5.386,-2.9530000000000003,1.555,8.807,12.457,-2.472,-1.014,-2.549,-2.684,-5.939,4.0539999999999985,-10.562,-12.925999999999998,-13.678,-16.590999999999998,-24.055,-29.194000000000006,-28.341,-36.788,-40.986,-32.165,-31.769,-32.657,-35.526,-31.686,-43.392,-39.198,-36.822,-30.634,-33.598,-34.75,-34.679,-46.411
01075,Lamar County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01077,Lauderdale County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01079,Lawrence County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01081,Lee County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01083,Limestone County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01085,Lowndes County,Alabama,False,35.378,16.555999999999994,11.491,25.662,13.295,10.655,9.493,25.854,9.659,6.085,15.794,5.7,11.247,16.062,13.61,13.107,0.68,7.899,14.561,9.471,12.412,21.773000000000003,11.728,10.139,8.557,6.966,-5.3210000000000015,0.7340000000000001,-11.561,-7.582000000000002,-2.023,-5.259,-15.819,-23.665,-28.464,-29.248,-24.134,-19.591,-18.417,-22.781,-32.54,-37.952,-43.534
01087,Macon County,Alabama,False,-8.463,-4.337,-5.431,-4.044,-4.0710000000000015,0.01,-6.239,-8.463,-1.439,-5.431,-6.07,-3.391,1.48,1.5719999999999998,-3.379,-5.7860000000000005,-9.512,-10.123,-8.152000000000001,-2.931,-1.5519999999999998,-10.158,-9.409,-16.314,-22.959,-26.516,-27.191,-23.424,-32.188,-31.144,-33.998000000000005,-33.093,-33.318000000000005,-34.543,-31.235,-37.272,-37.665,-42.84,-38.497,-38.759,-36.01300000000001,-34.359,-38.966
01089,Madison County,Alabama,False,10.349,-3.429,7.814,8.833,14.193,13.842,17.802,15.784,-1.896,2.185,6.629,8.929,10.568,14.468,19.046,4.619,-5.61,1.7819999999999998,3.664,-1.435,5.021,-22.812,-25.274,-22.064,-20.69,-28.328000000000007,-38.899,-26.098000000000006,-39.664,-47.502,-41.11600000000001,-32.588,-34.806999999999995,-40.718,-21.653,-39.12,-45.58600000000001,-44.58,-37.435,-40.476,-42.537,-37.768,-52.71100000000001
01091,Marengo County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01093,Marion County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01095,Marshall County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01097,Mobile County,Alabama,False,62.69600000000001,17.488,27.692,16.590999999999998,10.302,7.148,36.869,17.730999999999995,11.224,7.814,0.83,8.446,7.535,11.398,14.061,8.847000000000003,5.9110000000000005,9.025,8.857000000000003,6.181,1.051,8.554,2.15,-3.1830000000000003,-5.684,-10.322,-15.875,-17.256,-23.258000000000006,-15.133,-16.082,-16.612000000000002,-20.016,-24.581,-24.155,-29.682,-24.207,-23.484,-21.655,-22.903,-27.871,-32.91,-37.329
01099,Monroe County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
