,mean,se_mean,sd,n_eff,Rhat
"E_deaths[1,1]",1.313348036668082e-13,6.527164090400287e-15,2.546329017126909e-14,15.218784823268711,1.2412639016022302
"E_deaths[2,1]",2.4312372389818373e-06,5.6921702100976746e-08,4.3092274099545296e-07,57.31167099574832,1.1003294352569828
"E_deaths[3,1]",4.862474430983042e-06,1.1384340310201247e-07,8.618454736638604e-07,57.31167099574832,1.1003294352569828
"E_deaths[4,1]",3.624753636408949e-05,8.486508160244734e-07,6.42466620447421e-06,57.3116709957483,1.1003294352569826
"E_deaths[5,1]",0.00023649307235982495,5.536929098473408e-06,4.191702945879939e-05,57.31167099574843,1.1003294352569823
"E_deaths[6,1]",0.0009103878176699768,2.131458967594229e-05,0.0001613609759957061,57.31167099574839,1.1003294352569823
"E_deaths[7,1]",0.0026487224099508377,6.201360589168282e-05,0.00046947072985361736,57.31167099574835,1.1003294352569826
"E_deaths[8,1]",0.006039281868108747,0.00014137953057065096,0.0010703069274328194,57.31174107095862,1.1003343788185798
"E_deaths[9,1]",0.012008619258828995,0.0002811428224795526,0.002128119301676623,57.29779910172022,1.1003576589115904
"E_deaths[10,1]",0.02125386392996625,0.0004974114634725161,0.0037650554663713216,57.29426827855601,1.1003804422022634
"E_deaths[11,1]",0.03455172619867789,0.0008077094292741788,0.00611065557084724,57.235476752828845,1.1005434798894658
"E_deaths[12,1]",0.05270600080396825,0.0012301228433748176,0.00928593909623639,56.984231414011155,1.1010984482494168
"E_deaths[13,1]",0.07669828983226823,0.0017866653616417799,0.013418892435962906,56.40880608590673,1.1023090058324003
"E_deaths[14,1]",0.10725826759422699,0.0024965755575876154,0.018573201734762755,55.345730397463576,1.1044951550488036
"E_deaths[15,1]",0.14562456797982226,0.003388955612047185,0.024865942708967883,53.836658468648764,1.107782040571543
"E_deaths[16,1]",0.19303191288066365,0.004501737050032806,0.03240002135216041,51.80006980273238,1.1124527441232037
"E_deaths[17,1]",0.2507494057759916,0.005885440907074346,0.041292507777326,49.22486247572364,1.1184485855800819
"E_deaths[18,1]",0.3200254411748309,0.007870327922451612,0.05167608040189142,43.111533849954235,1.1256312180372166
"E_deaths[19,1]",0.40164055122348086,0.010505606319341327,0.0636533636212509,36.7113598067485,1.1336623905746332
"E_deaths[20,1]",0.49551693950260334,0.013769098730967558,0.077165791391937,31.407878414310954,1.1422680503430755
"E_deaths[21,1]",0.6014693421382907,0.01762920133696237,0.09221431292103816,27.360963957515498,1.1509452572722254
"E_deaths[22,1]",0.7186034028716303,0.02200314333085367,0.10860288607022539,24.362018998119517,1.15933889705586
"E_deaths[23,1]",0.8460284229710558,0.026825214307508772,0.12616772701861315,22.121275150372195,1.1672116217196589
"E_deaths[24,1]",0.9825052171777042,0.03199471100064787,0.1446589820805871,20.442519760804526,1.1742686407897185
"E_deaths[25,1]",1.1265621152043173,0.03757453751993896,0.16379171823854966,19.001880826147143,1.180362385499429
"E_deaths[26,1]",1.2766039261521898,0.04328773659274501,0.1832147920628324,17.91394809705275,1.18543840849715
"E_deaths[27,1]",1.4314536773299837,0.048999946449602094,0.20267630793140146,17.108611237652337,1.189403884491031
"E_deaths[28,1]",1.5900562543887031,0.054595788905985196,0.22192866053302762,16.523745300980295,1.1921981481325288
"E_deaths[29,1]",1.7512747607850465,0.05994357846191718,0.24072459476608543,16.127074697119703,1.1938445168757081
"E_deaths[30,1]",1.9144137955984575,0.06493804473431876,0.2589077833490859,15.896144317606867,1.1942986763093628
"E_deaths[31,1]",2.078232167198462,0.06946052152557143,0.27625794964865574,15.818069846238222,1.1935547496917074
"E_deaths[32,1]",2.2424269892187083,0.07364660076132312,0.2927202792060805,15.79793086123689,1.191652980122237
"E_deaths[33,1]",2.4049146071579655,0.07728919721149259,0.30812592356770235,15.893475762685583,1.1886850672767926
"E_deaths[34,1]",2.5636317116101197,0.08016140104566691,0.3223410840635237,16.169653968994336,1.1847625491734175
"E_deaths[35,1]",2.715821598949874,0.08236912808778672,0.33522390405484603,16.56307702835546,1.1801283027321587
"E_deaths[36,1]",2.857687896792795,0.08388211930389985,0.34653690850897534,17.06711851998807,1.1749658625530761
"E_deaths[37,1]",2.9860205939987314,0.08474184292123166,0.3560983480827714,17.658105567188265,1.169481718300874
"E_deaths[38,1]",3.0979457135121202,0.0849829341540173,0.3637477463213467,18.32049396843849,1.1638576930570588
"E_deaths[39,1]",3.1906164720821018,0.08464179063960828,0.3693354554035745,19.040235556048724,1.1582874225557551
"E_deaths[40,1]",3.2611816034136805,0.0836693014771086,0.37266966196488915,19.838817961388926,1.152892790742259
"E_deaths[41,1]",3.3088814152988255,0.08230158801973705,0.3737379091463127,20.62138702121702,1.1477450949096681
"E_deaths[42,1]",3.332777731668157,0.080503743476093,0.3725192223562082,21.412393886422162,1.1429253783364945
"E_deaths[43,1]",3.333157629773085,0.07831979850202657,0.3690682058181723,22.205990220165344,1.13842616527026
"E_deaths[44,1]",3.3104362925888107,0.07586491575284347,0.3634663424163833,22.953369163482186,1.134287239140693
"E_deaths[45,1]",3.2659497090036904,0.0732244630652177,0.3558612985940579,23.618326763764284,1.1304830672607649
"E_deaths[46,1]",3.200995166506376,0.07050158395095332,0.3464213686602481,24.14413205046151,1.127079952663697
"E_deaths[47,1]",3.1189645106983153,0.06767704487926879,0.3354633488554395,24.570125927099696,1.1239381809111315
"E_deaths[48,1]",3.0213752498060558,0.06482961579504141,0.3231768507218576,24.850412003716016,1.121155488949353
"E_deaths[49,1]",2.9108139194826026,0.061929706048370906,0.30979210555049574,25.023188967576232,1.1186210850104361
