,index,Cluster,County,R_0 (std),R_8/2 (std),# (\%) infected as predicted,Measured cases,Population,Fatality rate (measured death/cases)
1028,947,1,"Cumberland County, TN",3.637 (0.079),1.226 (0.025),"1,092 (1.8)",375,"59,673",1.60\%
1029,481,1,"Vermilion Parish, LA",3.373 (0.067),1.018 (0.130),"2,338 (3.9)","1,325","59,830",1.28\%
1030,556,1,"Granville County, NC",3.679 (0.104),1.032 (0.056),"3,020 (5.0)","1,176","60,115",2.13\%
1031,1051,1,"Hood County, TX",3.777 (0.083),1.235 (0.028),"1,638 (2.7)",437,"60,537",1.83\%
1032,760,1,"Laurel County, KY",3.302 (0.115),1.076 (0.034),559 (0.9),374,"60,669",1.07\%
1033,792,1,"Garfield County, OK",2.922 (0.079),1.090 (0.027),528 (0.9),365,"60,913",1.10\%
1034,624,1,"Pittsylvania County, VA",0.929 (0.040),1.044 (0.028),245 (0.4),354,"60,949",0.56\%
1035,121,1,"St. Joseph County, MI",2.875 (0.075),0.935 (0.074),771 (1.3),557,"61,043",1.26\%
1036,90,1,"Barry County, MI",2.875 (0.075),0.935 (0.074),220 (0.4),171,"61,157",1.17\%
1037,566,1,"Lee County, NC",3.679 (0.104),1.032 (0.056),"1,208 (2.0)","1,199","61,452",0.83\%
1038,353,1,"Liberty County, GA",3.128 (0.064),1.014 (0.014),286 (0.5),605,"61,497",0.33\%
1039,984,1,"Tipton County, TN",3.637 (0.079),1.226 (0.025),"1,638 (2.7)","1,104","61,581",0.82\%
1040,137,1,"Hall County, NE",0.970 (0.028),0.939 (0.027),"5,824 (9.5)","1,713","61,607",2.63\%
1041,427,1,"Knox County, OH",3.557 (0.092),1.017 (0.031),243 (0.4),165,"61,893",1.21\%
1042,560,1,"Haywood County, NC",3.679 (0.104),1.032 (0.056),724 (1.2),298,"61,971",2.01\%
1043,584,1,"Stanly County, NC",3.679 (0.104),1.032 (0.056),"1,328 (2.1)",897,"62,075",1.23\%
1044,576,1,"Pender County, NC",3.679 (0.104),1.032 (0.056),362 (0.6),619,"62,162",0.48\%
1045,324,1,"Effingham County, GA",3.128 (0.064),1.014 (0.014),143 (0.2),631,"62,190",0.16\%
1046,34,1,"Acadia Parish, LA",0.947 (0.033),0.902 (0.213),"11,098 (17.8)","2,380","62,190",3.03\%
1047,207,1,"Warrick County, IN",3.361 (0.085),0.954 (0.022),"3,501 (5.6)",502,"62,567",5.98\%
1048,500,1,"Crawford County, AR",3.130 (0.340),1.030 (0.207),463 (0.7),536,"63,406",0.56\%
1049,582,1,"Sampson County, NC",3.679 (0.104),1.032 (0.056),"1,449 (2.3)","1,421","63,626",0.84\%
1050,4,1,"Walker County, AL",1.086 (0.076),0.795 (0.218),"9,110 (14.3)","1,457","63,711",4.32\%
1051,115,1,"Montcalm County, MI",2.875 (0.075),0.935 (0.074),110 (0.2),180,"63,968",0.56\%
1052,526,1,"Pope County, AR",3.130 (0.340),1.030 (0.207),"1,391 (2.2)","1,202","64,000",0.75\%
1053,107,1,"Ionia County, MI",2.875 (0.075),0.935 (0.074),550 (0.9),265,"64,210",1.89\%
1054,775,1,"Pulaski County, KY",3.302 (0.115),1.076 (0.034),279 (0.4),258,"64,623",0.78\%
1055,862,1,"Crow Wing County, MN",1.012 (0.032),1.172 (0.034),"1,871 (2.9)",206,"64,889",6.31\%
1056,430,1,"Marion County, OH",3.557 (0.092),1.017 (0.031),"5,364 (8.2)","2,875","65,256",1.53\%
1057,171,1,"Grant County, IN",3.361 (0.085),0.954 (0.022),"3,385 (5.1)",496,"65,936",5.85\%
1058,209,1,"Wayne County, IN",3.361 (0.085),0.954 (0.022),"1,050 (1.6)",315,"65,936",2.86\%
1059,883,1,"Rice County, MN",1.012 (0.032),1.172 (0.034),"1,151 (1.7)",989,"66,523",0.81\%
1060,924,1,"St. Francois County, MO",3.517 (0.096),1.213 (0.041),303 (0.5),299,"66,692",0.67\%
1061,581,1,"Rutherford County, NC",3.679 (0.104),1.032 (0.056),"1,570 (2.4)",642,"66,826",2.02\%
1062,851,1,"Laurens County, SC",1.243 (0.034),1.159 (0.024),"5,940 (8.9)","1,222","66,994",2.78\%
1063,157,1,"Boone County, IN",3.361 (0.085),0.954 (0.022),"5,369 (8.0)",632,"66,999",7.28\%
1064,725,1,"Williamson County, IL",3.133 (0.391),1.060 (0.041),634 (0.9),329,"67,056",1.52\%
1065,858,1,"Blue Earth County, MN",1.012 (0.032),1.172 (0.034),719 (1.1),848,"67,427",0.59\%
1066,554,1,"Franklin County, NC",3.679 (0.104),1.032 (0.056),"3,020 (4.5)",783,"67,560",3.19\%
1067,510,1,"Jefferson County, AR",3.130 (0.340),1.030 (0.207),"5,876 (8.6)","1,357","68,114",2.80\%
1068,1133,1,"Wise County, TX",3.777 (0.083),1.235 (0.028),"1,023 (1.5)",311,"68,305",1.61\%
1069,807,1,"Muskogee County, OK",2.922 (0.079),1.090 (0.027),"2,113 (3.1)",438,"68,362",3.65\%
1070,591,1,"Wilkes County, NC",3.679 (0.104),1.032 (0.056),"1,208 (1.8)",734,"68,557",1.36\%
1071,954,1,"Greene County, TN",3.637 (0.079),1.226 (0.025),910 (1.3),369,"69,087",1.36\%
1072,545,1,"Carteret County, NC",3.679 (0.104),1.032 (0.056),604 (0.9),295,"69,524",1.69\%
1073,264,1,"Troup County, GA",1.040 (0.058),0.983 (0.035),"10,488 (15.0)","2,169","70,034",2.90\%
1074,185,1,"Morgan County, IN",3.361 (0.085),0.954 (0.022),"3,735 (5.3)",418,"70,116",7.66\%
1075,1141,1,"Columbia County, FL",3.647 (0.407),1.276 (0.029),"1,595 (2.3)","2,572","70,503",0.39\%
1076,110,1,"Isabella County, MI",2.875 (0.075),0.935 (0.074),991 (1.4),200,"70,562",4.50\%
1077,600,1,"Fauquier County, VA",0.929 (0.040),1.044 (0.028),980 (1.4),574,"70,675",1.39\%
1078,848,1,"Greenwood County, SC",1.243 (0.034),1.159 (0.024),"2,620 (3.7)","1,258","70,741",1.19\%
1079,234,1,"DeKalb County, AL",3.438 (0.069),0.979 (0.238),"2,091 (2.9)","1,677","71,385",0.78\%
1080,1124,1,"Walker County, TX",3.777 (0.083),1.235 (0.028),"7,780 (10.7)","2,814","72,480",1.35\%
1081,817,1,"Pottawatomie County, OK",2.922 (0.079),1.090 (0.027),924 (1.3),393,"72,679",1.78\%
1082,290,1,"Wood County, WI",1.463 (0.432),0.998 (0.030),109 (0.1),238,"73,055",0.42\%
1083,26,1,"Chatham County, NC",0.857 (0.041),0.832 (0.147),"4,170 (5.7)","1,234","73,139",4.05\%
1084,516,1,"Lonoke County, AR",3.130 (0.340),1.030 (0.207),309 (0.4),433,"73,657",0.46\%
1085,594,1,"Augusta County, VA",0.929 (0.040),1.044 (0.028),490 (0.6),252,"75,457",1.59\%
1086,419,1,"Hancock County, OH",3.557 (0.092),1.017 (0.031),243 (0.3),315,"75,930",0.63\%
1087,173,1,"Hancock County, IN",3.361 (0.085),0.954 (0.022),"4,318 (5.7)",616,"76,351",6.01\%
1088,935,1,"Anderson County, TN",3.637 (0.079),1.226 (0.025),910 (1.2),599,"76,482",0.83\%
1089,440,1,"Ross County, OH",3.557 (0.092),1.017 (0.031),487 (0.6),387,"76,931",1.03\%
1090,303,1,"Bulloch County, GA",3.128 (0.064),1.014 (0.014),"1,716 (2.2)","1,101","77,296",1.09\%
1091,535,1,"White County, AR",3.130 (0.340),1.030 (0.207),309 (0.4),262,"78,727",0.76\%
1092,894,1,"Cape Girardeau County, MO",3.517 (0.096),1.213 (0.041),455 (0.6),597,"78,753",0.50\%
1093,980,1,"Putnam County, TN",3.637 (0.079),1.226 (0.025),"2,367 (3.0)","1,547","78,843",0.84\%
1094,281,1,"Manitowoc County, WI",1.463 (0.432),0.998 (0.030),109 (0.1),301,"79,074",0.33\%
1095,97,1,"Clinton County, MI",2.875 (0.075),0.935 (0.074),"1,432 (1.8)",413,"79,332",3.15\%
1096,180,1,"Kosciusko County, IN",3.361 (0.085),0.954 (0.022),"1,400 (1.8)",816,"79,344",1.47\%
1097,261,1,"Talladega County, AL",3.438 (0.069),0.979 (0.238),"2,091 (2.6)",890,"79,828",1.46\%
1098,824,1,"Wagoner County, OK",2.922 (0.079),1.090 (0.027),"2,905 (3.6)",733,"80,110",3.00\%
1099,235,1,"Elmore County, AL",3.438 (0.069),0.979 (0.238),"5,953 (7.3)","1,584","81,887",2.34\%
1100,543,1,"Caldwell County, NC",3.679 (0.104),1.032 (0.056),"1,449 (1.8)","1,121","82,029",1.07\%
1101,814,1,"Payne County, OK",2.922 (0.079),1.090 (0.027),396 (0.5),663,"82,040",0.45\%
1102,1048,1,"Henderson County, TX",3.777 (0.083),1.235 (0.028),"1,842 (2.2)",577,"82,299",1.56\%
1103,27,1,"Howard County, IN",0.812 (0.042),0.838 (0.040),"6,840 (8.3)",804,"82,366",7.96\%
1104,155,1,"Bartholomew County, IN",3.361 (0.085),0.954 (0.022),"5,486 (6.6)",738,"82,753",6.37\%
1105,152,1,"St. Landry Parish, LA",3.031 (0.336),0.949 (0.132),"9,350 (11.3)","2,183","82,764",3.39\%
1106,232,1,"Cullman County, AL",3.438 (0.069),0.979 (0.238),"1,770 (2.1)","1,113","83,442",0.99\%
1107,568,1,"Lincoln County, NC",3.679 (0.104),1.032 (0.056),362 (0.4),746,"83,770",0.40\%
1108,277,1,"Jefferson County, WI",1.463 (0.432),0.998 (0.030),545 (0.6),556,"85,129",0.90\%
1109,668,1,"Lee County, MS",3.376 (0.067),1.058 (0.020),"4,806 (5.6)","1,232","85,202",2.44\%
1110,333,1,"Glynn County, GA",3.128 (0.064),1.014 (0.014),"4,863 (5.7)","2,311","85,219",1.47\%
1111,835,1,"Twin Falls County, ID",1.387 (0.401),1.116 (0.039),"4,846 (5.6)","1,206","86,081",2.57\%
1112,488,1,"Orangeburg County, SC",1.138 (0.086),1.028 (0.068),"9,776 (11.2)","2,190","86,934",2.60\%
1113,897,1,"Christian County, MO",3.517 (0.096),1.213 (0.041),151 (0.2),281,"86,983",0.36\%
1114,271,1,"Dodge County, WI",1.463 (0.432),0.998 (0.030),545 (0.6),702,"87,847",0.71\%
1115,602,1,"Frederick County, VA",0.929 (0.040),1.044 (0.028),"1,103 (1.2)",663,"88,355",1.36\%
1116,259,1,"St. Clair County, AL",3.438 (0.069),0.979 (0.238),"1,931 (2.2)","1,182","88,690",1.02\%
1117,542,1,"Burke County, NC",3.679 (0.104),1.032 (0.056),"3,141 (3.5)","1,556","90,382",1.67\%
1118,580,1,"Rockingham County, NC",3.679 (0.104),1.032 (0.056),845 (0.9),470,"90,690",1.49\%
1119,818,1,"Rogers County, OK",2.922 (0.079),1.090 (0.027),"1,849 (2.0)",800,"91,984",1.75\%
1120,444,1,"Tuscarawas County, OH",3.557 (0.092),1.017 (0.031),"1,585 (1.7)",746,"92,176",1.74\%
1121,766,1,"Madison County, KY",3.302 (0.115),1.076 (0.034),139 (0.2),383,"92,368",0.26\%
1122,245,1,"Lauderdale County, AL",3.438 (0.069),0.979 (0.238),"1,931 (2.1)","1,053","92,387",1.14\%
1123,397,1,"Walton County, GA",3.128 (0.064),1.014 (0.014),"4,863 (5.2)",955,"93,503",3.56\%
1124,418,1,"Geauga County, OH",3.557 (0.092),1.017 (0.031),"5,243 (5.6)",528,"94,031",8.14\%
1125,850,1,"Lancaster County, SC",1.243 (0.034),1.159 (0.024),"3,669 (3.8)","1,063","95,380",1.98\%
1126,252,1,"Marshall County, AL",3.438 (0.069),0.979 (0.238),"4,827 (5.0)","2,947","96,109",1.02\%
1127,247,1,"Limestone County, AL",3.438 (0.069),0.979 (0.238),"2,091 (2.2)","1,183","96,174",1.10\%
1128,1056,1,"Hunt County, TX",3.777 (0.083),1.235 (0.028),"4,095 (4.2)","1,049","96,493",1.91\%
1129,408,1,"Ashtabula County, OH",3.557 (0.092),1.017 (0.031),"5,486 (5.6)",538,"97,493",8.36\%
1130,549,1,"Cleveland County, NC",3.679 (0.104),1.032 (0.056),"1,691 (1.7)","1,019","97,645",1.37\%
1131,329,1,"Floyd County, GA",3.128 (0.064),1.014 (0.014),"2,145 (2.2)","1,266","97,927",1.18\%
1132,112,1,"Lenawee County, MI",2.875 (0.075),0.935 (0.074),"1,322 (1.3)",392,"98,266",3.06\%
1133,288,1,"Walworth County, WI",1.463 (0.432),0.998 (0.030),"2,290 (2.2)","1,237","103,718",1.70\%
1134,242,1,"Houston County, AL",3.438 (0.069),0.979 (0.238),"1,931 (1.8)","1,309","104,722",0.92\%
1135,896,1,"Cass County, MO",3.517 (0.096),1.213 (0.041),"1,365 (1.3)",636,"104,954",1.42\%
1136,432,1,"Miami County, OH",3.557 (0.092),1.017 (0.031),"4,511 (4.2)",768,"106,222",4.82\%
1137,265,1,"Bartow County, GA",3.123 (0.088),0.986 (0.023),"8,834 (8.3)","1,607","106,408",3.73\%
1138,940,1,"Bradley County, TN",3.637 (0.079),1.226 (0.025),"1,820 (1.7)","1,705","106,727",0.59\%
1139,752,1,"Hardin County, KY",3.302 (0.115),1.076 (0.034),"1,118 (1.0)",521,"110,356",1.54\%
1140,1144,1,"Flagler County, FL",3.647 (0.407),1.276 (0.029),"1,595 (1.4)",930,"112,067",1.08\%
1141,30,1,"Wayne County, OH",1.286 (0.358),0.861 (0.044),"6,836 (5.9)",492,"115,967",11.79\%
1142,356,1,"Lowndes County, GA",3.128 (0.064),1.014 (0.014),"4,577 (3.9)","2,971","116,321",1.08\%
1143,88,1,"Allegan County, MI",2.875 (0.075),0.935 (0.074),771 (0.7),507,"117,327",1.38\%
1144,214,1,"Carroll County, GA",0.884 (0.039),0.978 (0.033),"7,507 (6.4)","1,737","118,121",2.71\%
1145,254,1,"Morgan County, AL",3.438 (0.069),0.979 (0.238),"2,413 (2.0)","2,206","119,089",0.68\%
1146,789,1,"Comanche County, OK",2.922 (0.079),1.090 (0.027),"1,320 (1.1)",771,"120,422",1.30\%
1147,529,1,"Saline County, AR",3.130 (0.340),1.030 (0.207),618 (0.5),879,"121,421",0.46\%
1148,504,1,"Faulkner County, AR",3.130 (0.340),1.030 (0.207),773 (0.6),"1,203","124,806",0.42\%
1149,3,1,"Madison County, IN",2.815 (0.127),0.789 (0.040),"7,015 (5.4)",842,"129,641",7.72\%
1150,153,1,"Rapides Parish, LA",0.925 (0.028),0.951 (0.222),"17,172 (13.2)","3,037","130,562",3.42\%
1151,939,1,"Blount County, TN",3.637 (0.079),1.226 (0.025),"1,274 (1.0)","1,098","131,349",0.64\%
1152,25,1,"Robeson County, NC",0.884 (0.042),0.813 (0.182),"7,410 (5.6)","2,635","131,831",1.94\%
1153,559,1,"Harnett County, NC",3.679 (0.104),1.032 (0.056),"4,349 (3.2)","1,141","134,214",3.16\%
1154,1100,1,"Randall County, TX",3.777 (0.083),1.235 (0.028),"3,480 (2.6)","1,586","136,271",1.07\%
1155,1095,1,"Parker County, TX",3.777 (0.083),1.235 (0.028),"2,457 (1.8)","1,070","138,371",1.12\%
1156,151,1,"Livingston Parish, LA",0.834 (0.030),0.945 (0.204),"7,846 (5.6)","2,660","139,567",1.84\%
1157,786,1,"Canadian County, OK",2.922 (0.079),1.090 (0.027),660 (0.5),"1,078","144,447",0.46\%
1158,316,1,"Coweta County, GA",3.128 (0.064),1.014 (0.014),"3,004 (2.1)","1,338","145,864",1.57\%
1159,28,1,"Comal County, TX",1.102 (0.093),0.848 (0.226),"11,888 (8.0)","1,669","148,373",3.65\%
1160,1041,1,"Guadalupe County, TX",3.777 (0.083),1.235 (0.028),"8,804 (5.4)","1,597","163,694",2.69\%
1161,246,1,"Lee County, AL",3.438 (0.069),0.979 (0.238),"6,436 (3.9)","2,491","163,941",1.61\%
1162,563,1,"Iredell County, NC",3.679 (0.104),1.032 (0.056),"2,174 (1.2)","1,691","178,435",1.06\%
