,index,Cluster,County,R_0 (std),R_8/2 (std),# (\%) infected as predicted,Measured cases,Population,Fatality rate (measured death/cases)
851,302,1,"Bryan County, GA",3.128 (0.064),1.014 (0.014),"1,001 (2.6)",551,"38,109",1.27\%
852,816,1,"Pontotoc County, OK",2.922 (0.079),1.090 (0.027),264 (0.7),176,"38,247",1.14\%
853,810,1,"Okmulgee County, OK",2.922 (0.079),1.090 (0.027),396 (1.0),399,"38,335",0.75\%
854,909,1,"Lawrence County, MO",3.517 (0.096),1.213 (0.041),303 (0.8),186,"38,359",1.08\%
855,927,1,"Scott County, MO",3.517 (0.096),1.213 (0.041),"1,972 (5.1)",345,"38,458",3.77\%
856,726,1,"Woodford County, IL",3.133 (0.391),1.060 (0.041),380 (1.0),95,"38,463",3.16\%
857,855,1,"Newberry County, SC",1.243 (0.034),1.159 (0.024),"1,397 (3.6)",775,"38,520",1.03\%
858,471,1,"Natchitoches Parish, LA",3.373 (0.067),1.018 (0.130),"2,338 (6.0)",687,"38,659",2.47\%
859,411,1,"Champaign County, OH",3.557 (0.092),1.017 (0.031),121 (0.3),105,"38,754",0.95\%
860,483,1,"Webster Parish, LA",3.373 (0.067),1.018 (0.130),"1,788 (4.6)",823,"38,798",1.58\%
861,934,1,"Webster County, MO",3.517 (0.096),1.213 (0.041),151 (0.4),116,"39,109",0.86\%
862,533,1,"Union County, AR",3.130 (0.340),1.030 (0.207),"2,474 (6.3)",433,"39,126",3.70\%
863,736,1,"Calloway County, KY",3.302 (0.115),1.076 (0.034),279 (0.7),192,"39,135",1.04\%
864,368,1,"Oconee County, GA",3.128 (0.064),1.014 (0.014),"2,145 (5.5)",394,"39,272",3.81\%
865,181,1,"LaGrange County, IN",3.361 (0.085),0.954 (0.022),"1,167 (3.0)",542,"39,330",1.85\%
866,578,1,"Person County, NC",3.679 (0.104),1.032 (0.056),241 (0.6),193,"39,507",1.04\%
867,941,1,"Campbell County, TN",3.637 (0.079),1.226 (0.025),182 (0.5),207,"39,583",0.48\%
868,575,1,"Pasquotank County, NC",3.679 (0.104),1.032 (0.056),"2,053 (5.2)",351,"39,639",4.84\%
869,367,1,"Murray County, GA",3.128 (0.064),1.014 (0.014),286 (0.7),535,"39,921",0.37\%
870,633,1,"Warren County, VA",0.929 (0.040),1.044 (0.028),858 (2.1),348,"40,003",2.01\%
871,906,1,"Howell County, MO",3.517 (0.096),1.213 (0.041),303 (0.8),137,"40,076",1.46\%
872,174,1,"Harrison County, IN",3.361 (0.085),0.954 (0.022),"2,568 (6.4)",289,"40,350",7.61\%
