NPI,mean,sd
$I_1$: Stay at home,0.10146779829316901,0.031023249886268082
$I_2$: >50 gathering,0.008466451575787721,0.023124630690985016
$I_3$: >500 gathering,0.007798947513347905,0.024701122933940042
$I_4$: Public schools,0.15728585445820514,0.2290122930788949
$I_5$: Restaurant dine-in,0.004316962284542318,0.02409818720961424
$I_6$: Entertainment/gym,0.1627454330024754,0.03697282772287696
$I_7$: Federal guidelines,0.8229691587720452,0.2864597732369399
$I_8$: Foreign travel ban,0.06987566577402618,0.12098865595510565
$I_9$: Mask mandate,0.0,0.0
